Name,AssetType,Underlying,Source,isin,code,Exchange,category, currency,googleCode,
db x-trackers MSCI China (DR) 1C GBP,ETF,EQUITY,Google,LU0514695690,XCX6,XCX6.L,China Equity,USD,LON:XCX6,
db x-trackers MSCI EM Asia 1C GBP,ETF,EQUITY,Google,LU0292107991,XMAS,XMAS.L,Asia ex Japan Equity,USD,LON:XMAS,
db x-trackers MSCI EM LatAm 1C GBP,ETF,EQUITY,Google,LU0292108619,XMLA,XMLA.L,Latin America Equity,USD,LON:XMLA,
db x-trackers MSCI Emerging Markets 1C GBP,ETF,EQUITY,Google,LU0292107645,XMMD,XMMD.L,Global Emerging Markets Equity,USD,LON:XMMD,
db x-trackers MSCI Europe (DR) 1C GBP,ETF,EQUITY,Google,LU0274209237,XMED,XMED.L,Europe Large-Cap Blend Equity,USD,LON:XMED,
db x-trackers MSCI Europe Mid Cap(DR)1C GBP,ETF,EQUITY,Google,LU0322253732,XEUM,XEUM.L,Europe Mid-Cap Equity,GBX,LON:XEUM,
db x-trackers MSCI Europe Sm Cap (DR) 1C GBP,ETF,EQUITY,Google,LU0322253906,XXSC,XXSC.L,Europe Small-Cap Equity,GBX,LON:XXSC,
db x-trackers MSCI India 1C GBP,ETF,EQUITY,Google,LU0514695187,XCX5,XCX5.L,India Equity,USD,LON:XCX5,
db x-trackers MSCI Indonesia 1C GBP,ETF,EQUITY,Google,LU0476289623,XMID,XMID.L,Indonesia Equity,USD,LON:XMID,
db x-trackers MSCI Japan (DR) 1C GBP,ETF,EQUITY,Google,LU0274209740,XMJP,XMJP.L,Japan Large-Cap Equity,USD,LON:XMJP,
db x-trackers MSCI Japan (DR) 6C,ETF,EQUITY,Google,LU0659580236,XMJG,XMJG.L,Japan Equity - Currency Hedged,GBX,LON:XMJG,
db x-trackers MSCI Korea (DR) 1C GBP,ETF,EQUITY,Google,LU0292100046,XKS2,XKS2.L,Korea Equity,USD,LON:XKS2,
db x-trackers MSCI Malaysia (DR) 1C GBP,ETF,EQUITY,Google,LU0514694370,XCX3,XCX3.L,Other Asia-Pacific Equity,USD,LON:XCX3,
db x-trackers MSCI Mexico (DR) 1C GBP,ETF,EQUITY,Google,LU0476289466,XMEX,XMEX.L,Other Americas Equity,USD,LON:XMEX,
db x-trackers MSCI NA Hi Div Yld (DR)1C GBP,ETF,EQUITY,Google,IE00BH361H73,XDND,XDND.L,US Large-Cap Value Equity,GBX,LON:XDND,
db x-trackers MSCI Nordic (DR) 1D GBP,ETF,EQUITY,Google,IE00B9MRHC27,XDN0,XDN0.L,Nordic Equity,GBX,LON:XDN0,
db x-trackers MSCI Pacific exJapan(DR)1C GBP,ETF,EQUITY,Google,LU0322252338,XPXJ,XPXJ.L,Asia-Pacific ex-Japan Equity,USD,LON:XPXJ,
db x-trackers MSCI Philippines IM (DR)1C GBP,ETF,EQUITY,Google,LU0592215403,XPHG,XPHG.L,Other Asia-Pacific Equity,USD,LON:XPHG,
db x-trackers MSCI Russia Capped 1C GBP,ETF,EQUITY,Google,LU0322252502,XMRC,XMRC.L,Russia Equity,USD,LON:XMRC,
db x-trackers MSCI Taiwan (DR) 1C GBP,ETF,EQUITY,Google,LU0292109187,XMTW,XMTW.L,Taiwan Large-Cap Equity,USD,LON:XMTW,
db x-trackers MSCI Thailand (DR) 1C GBP,ETF,EQUITY,Google,LU0514694701,XCX4,XCX4.L,Thailand Equity,USD,LON:XCX4,
db x-trackers MSCI USA (DR) 1C GBP,ETF,EQUITY,Google,IE00BJ0KDR00,XD9U,XD9U.L,US Large-Cap Blend Equity,USD,LON:XD9U,
db x-trackers MSCI USA 1C GBP,ETF,EQUITY,Google,LU0274210672,XMUS,XMUS.L,US Large-Cap Blend Equity,USD,LON:XMUS,
db x-trackers MSCI World 1C GBP,ETF,EQUITY,Google,LU0274208692,XMWD,XMWD.L,Global Large-Cap Blend Equity,USD,LON:XMWD,
db x-trackers Nifty 50 1C GBP,ETF,EQUITY,Google,LU0292109690,XNIF,XNIF.L,India Equity,USD,LON:XNIF,
db x-trackers S&P 500 1C GBP,ETF,EQUITY,Google,LU0490618542,XSPX,XSPX.L,US Large-Cap Blend Equity,USD,LON:XSPX,
db x-trackers S&P 500 2x Inverse Dly 1C GBP,ETF,EQUITY,Google,LU0411078636,XT2D,XT2D.L,Trading - Leveraged/Inverse Equity,USD,LON:XT2D,
db x-trackers S&P 500 Inverse Daily 1C GBP,ETF,EQUITY,Google,LU0322251520,XSPS,XSPS.L,Trading - Leveraged/Inverse Equity,USD,LON:XSPS,
db x-trackers S&P Global Infras 1C GBP,ETF,EQUITY,Google,LU0322253229,XSGI,XSGI.L,Sector Equity Infrastructure,USD,LON:XSGI,
db x-trackers S&P Select Frontier 1C GBP,ETF,EQUITY,Google,LU0328476410,XSFR,XSFR.L,Global Frontier Markets Equity,USD,LON:XSFR,
db x-trackers S&P/ASX 200 (DR) 1D GBP,ETF,EQUITY,Google,LU0328474803,XAUS,XAUS.L,Australia & New Zealand Equity,GBX,LON:XAUS,
db x-trackers ShortDAX Daily 1C GBP,ETF,EQUITY,Google,LU0292106241,XSDX,XSDX.L,Trading - Leveraged/Inverse Equity,GBX,LON:XSDX,
db x-trackers Stoxx Eurp600 (DR) 1C GBP,ETF,EQUITY,Google,LU0328475792,XSX6,XSX6.L,Europe Large-Cap Blend Equity,GBX,LON:XSX6,
db x-trackers Stoxx Eurp600 Banks 1C GBP,ETF,EQUITY,Google,LU0292103651,XS7R,XS7R.L,Sector Equity Financial Services,GBX,LON:XS7R,
db x-trackers Stoxx Eurp600 Bas Res 1C GBP,ETF,EQUITY,Google,LU0292100806,XSPR,XSPR.L,Sector Equity Industrial Materials,GBX,LON:XSPR,
db x-trackers Stoxx Eurp600 Food&Bev 1C GBP,ETF,EQUITY,Google,LU0292105359,XS3R,XS3R.L,Sector Equity Consumer Goods & Services,GBX,LON:XS3R,
db x-trackers Stoxx Eurp600 HC 1C GBP,ETF,EQUITY,Google,LU0292103222,XSDR,XSDR.L,Sector Equity Healthcare,GBX,LON:XSDR,
db x-trackers Stoxx Eurp600 IndlGds 1C GBP,ETF,EQUITY,Google,LU0292106084,XSNR,XSNR.L,Sector Equity Industrial Materials,GBX,LON:XSNR,
db x-trackers Stoxx Eurp600 Oil&Gas 1C GBP,ETF,EQUITY,Google,LU0292101796,XSER,XSER.L,Sector Equity Energy,GBX,LON:XSER,
db x-trackers Stoxx Eurp600 Tech 1C GBP,ETF,EQUITY,Google,LU0292104469,XS8R,XS8R.L,Sector Equity Technology,GBX,LON:XS8R,
db x-trackers Stoxx Eurp600 Telecom 1C GBP,ETF,EQUITY,Google,LU0292104030,XSKR,XSKR.L,Sector Equity Communications,GBX,LON:XSKR,
db x-trackers Stoxx Eurp600 Utilities 1C GBP,ETF,EQUITY,Google,LU0292104899,XS6R,XS6R.L,Sector Equity Utilities,GBX,LON:XS6R,
db x-trackers Stoxx Glbl Sel Div 100 1D GBP,ETF,EQUITY,Google,LU0292096186,XGSD,XGSD.L,Global Equity Income,USD,LON:XGSD,
ETFS 3x Short EUR Long GBP,ETF,FX,Google,JE00B3W0MY68,SUP3,SUP3.L,Other,GBX,LON:SUP3,
ETFS 3x Short JPY Long GBP,ETF,FX,Google,JE00B3TG7R50,SYP3,SYP3.L,Other,GBX,LON:SYP3,
ETFS Agriculture ETC GBP,ETF,COMMODITIES,Google,GB00B15KYH63,AGAP,AGAP.L,Commodities - Broad Agriculture,GBX,LON:AGAP,
ETFS All Commodities ETC GBP,ETF,COMMODITIES,Google,GB00B15KY989,AGCP,AGCP.L,Commodities - Broad Basket,GBX,LON:AGCP,
ETFS Brent Oil 1 month ETC GBP,ETF,COMMODITIES,Google,GB00B0CTWC01,OLBP,OLBP.L,Commodities - Energy,GBX,LON:OLBP,
ETFS Carbon ETC GBP,ETF,COMMODITIES,Google,JE00B3CG6315,CARP,CARP.L,Commodities - Other,GBX,LON:CARP,
ETFS Crude Oil ETC,ETF,COMMODITIES,Google,GB00B15KXV33,CRUD,CRUD.L,Commodities - Energy,USD,LON:CRUD,
ETFS DAX Daily 2x Long GO ETF GBP,ETF,EQUITY,Google,IE00B4QNHH68,DL2P,DL2P.L,Trading - Leveraged/Inverse Equity,GBX,LON:DL2P,
ETFS DAX Daily 2x Short GO ETF GBP,ETF,EQUITY,Google,IE00B4QNHZ41,DS2P,DS2P.L,Trading - Leveraged/Inverse Equity,GBX,LON:DS2P,
ETFS DAXglobal Gold Mining GO ETF GBP,ETF,EQUITY,Google,IE00B3CNHG25,AUCP,AUCP.L,Sector Equity Precious Metals,GBX,LON:AUCP,
ETFS FTSE 100 Leveraged Daily 2x GO ETF,ETF,EQUITY,Google,IE00B4QNJJ23,LUK2,LUK2.L,Trading - Leveraged/Inverse Equity,GBX,LON:LUK2,
ETFS FTSE 100 SuperShrtStratDly2x GO ETF,ETF,EQUITY,Google,IE00B4QNK008,SUK2,SUK2.L,Trading - Leveraged/Inverse Equity,GBX,LON:SUK2,
ETFS GBP Daily Hdg Brent Crude Oil ETC,ETF,COMMODITIES,Google,JE00B766LB87,PBRT,PBRT.L,Commodities - Energy,GBX,LON:PBRT,
ETFS GBP Daily Hdgd All Comm DJ-UBS ETC,ETF,COMMODITIES,Google,JE00B6S1W779,PALL,PALL.L,Commodities - Broad Basket,GBX,LON:PALL,
ETFS Gold Bullion Securities ETC GBP,ETF,COMMODITIES,Google,GB00B00FHZ82,GBSS,GBSS.L,Commodities - Precious Metals,GBX,LON:GBSS,
ETFS Gold ETC GBP,ETF,COMMODITIES,Google,GB00B15KXX56,BULP,BULP.L,Commodities - Precious Metals,GBX,LON:BULP,
ETFS Grains ETC GBP,ETF,COMMODITIES,Google,GB00B15KYL00,AGGP,AGGP.L,Commodities - Grains,GBX,LON:AGGP,
ETFS Long AUD Short GBP,ETF,FX,Google,JE00B3S7BB10,GBAU,GBAU.L,Other,GBX,LON:GBAU,
ETFS Long AUD Short USD GBP,ETF,FX,Google,JE00B68GQH02,AUDP,AUDP.L,Other,GBX,LON:AUDP,
ETFS Long CAD Short GBP,ETF,FX,Google,JE00B3X07W84,GBCA,GBCA.L,Other,GBX,LON:GBCA,
ETFS Long CAD Short USD GBP,ETF,FX,Google,JE00B68GRL13,CADP,CADP.L,Other,GBX,LON:CADP,
ETFS Long CHF Short GBP,ETF,FX,Google,JE00B3SX3R93,GBCH,GBCH.L,Other,GBX,LON:GBCH,
ETFS Long CHF Short USD GBP,ETF,FX,Google,JE00B68GVR52,CHFP,CHFP.L,Other,GBX,LON:CHFP,
ETFS Long EUR Short GBP,ETF,FX,Google,JE00B3Y3SZ64,GBUR,GBUR.L,Other,GBX,LON:GBUR,
ETFS Long GBP Short USD GBP,ETF,FX,Google,JE00B68GR111,GBPP,GBPP.L,Other,GBX,LON:GBPP,
ETFS Long JPY Short GBP,ETF,FX,Google,JE00B3XR4V72,GBJP,GBJP.L,Other,GBX,LON:GBJP,
ETFS Long JPY Short USD GBP,ETF,FX,Google,JE00B68GSP26,JPYP,JPYP.L,Other,GBX,LON:JPYP,
ETFS Long NOK Short GBP,ETF,FX,Google,JE00B3S5RB71,GBNO,GBNO.L,Other,GBX,LON:GBNO,
ETFS Long NOK Short USD GBP,ETF,FX,Google,JE00B68GTQ08,NOKP,NOKP.L,Other,GBX,LON:NOKP,
ETFS Long NZD Short GBP,ETF,FX,Google,JE00B45W1502,GBNZ,GBNZ.L,Other,GBX,LON:GBNZ,
ETFS Long NZD Short USD GBP,ETF,FX,Google,JE00B68GT711,NZDP,NZDP.L,Other,GBX,LON:NZDP,
ETFS Long USD Short GBP,ETF,FX,Google,JE00B3WPFZ34,GBUS,GBUS.L,Other,GBX,LON:GBUS,
ETFS Longer Dated All Commodities GO ETF GBP,ETF,COMMODITIES,Google,IE00B4WPHX27,CMFP,CMFP.L,Commodities - Broad Basket,GBX,LON:CMFP,
ETFS Natural Gas ETC GBP,ETF,COMMODITIES,Google,GB00B15KY104,NGSP,NGSP.L,Commodities - Energy,GBX,LON:NGSP,
ETFS Physical Gold GBP,ETF,COMMODITIES,Google,JE00B1VS3770,PHGP,PHGP.L,Commodities - Precious Metals,GBX,LON:PHGP,
ETFS Physical PM Basket ETC GBP,ETF,COMMODITIES,Google,JE00B1VS3W29,PHPP,PHPP.L,Commodities - Precious Metals,GBX,LON:PHPP,
ETFS Physical Silver ETC GBP,ETF,COMMODITIES,Google,JE00B1VS3333,PHSP,PHSP.L,Commodities - Precious Metals,GBX,LON:PHSP,
ETFS Russell 2000 US Small Cap GO ETF GBP,ETF,EQUITY,Google,IE00B3CNHJ55,RTWP,RTWP.L,US Small-Cap Equity,GBX,LON:RTWP,
ETFS Short AUD Long GBP,ETF,FX,Google,JE00B3WMCJ71,AUGB,AUGB.L,Other,GBX,LON:AUGB,
ETFS Short AUD Long USD GBP,ETF,FX,Google,JE00B68GQZ83,SAUP,SAUP.L,Other,GBX,LON:SAUP,
ETFS Short CAD Long GBP,ETF,FX,Google,JE00B3XY7H57,CAGB,CAGB.L,Other,GBX,LON:CAGB,
ETFS Short CAD Long USD GBP,ETF,FX,Google,JE00B68GS291,SCDP,SCDP.L,Other,GBX,LON:SCDP,
ETFS Short CHF Long GBP,ETF,FX,Google,JE00B3NKMM36,CHGB,CHGB.L,Other,GBX,LON:CHGB,
ETFS Short CHF Long USD GBP,ETF,FX,Google,JE00B68GVT76,SCHP,SCHP.L,Other,GBX,LON:SCHP,
ETFS Short EUR Long GBP,ETF,FX,Google,JE00B45CYD99,URGB,URGB.L,Other,GBX,LON:URGB,
ETFS Short EUR Long USD GBP,ETF,FX,Google,JE00B68GSM94,SEUP,SEUP.L,Other,GBX,LON:SEUP,
ETFS Short GBP Long USD GBP,ETF,FX,Google,JE00B68GRJ90,USD2,USD2.L,Other,GBX,LON:USD2,
ETFS Short JPY Long GBP,ETF,FX,Google,JE00B3QBQJ84,JPGB,JPGB.L,Other,GBX,LON:JPGB,
ETFS Short JPY Long USD GBP,ETF,FX,Google,JE00B68GT596,SJPP,SJPP.L,Other,GBX,LON:SJPP,
ETFS Short NZD Long GBP,ETF,FX,Google,JE00B3YHSG97,NZGB,NZGB.L,Other,GBX,LON:NZGB,
ETFS Short SEK Long GBP,ETF,FX,Google,JE00B3TK4N26,SKGB,SKGB.L,Other,GBX,LON:SKGB,
ETFS Short SEK Long USD GBP,ETF,FX,Google,JE00B68GV865,SSEP,SSEP.L,Other,GBX,LON:SSEP,
ETFS Short USD Long GBP,ETF,FX,Google,JE00B438PT24,USGB,USGB.L,Other,GBX,LON:USGB,
ETFS Silver ETC,ETF,COMMODITIES,Google,GB00B15KY328,SLVR,SLVR.L,Commodities - Precious Metals,USD,LON:SLVR,
ETFS US Energy Infrastructure MLP GO ETF GBP,ETF,EQUITY,Google,IE00BHZKHS06,MLPX,MLPX.L,Sector Equity Energy,GBX,LON:MLPX,
ETFS WTI 2mth ETC GBP,ETF,COMMODITIES,Google,GB00B0CTWK84,OLWP,OLWP.L,Commodities - Energy,GBX,LON:OLWP,
First Trust UK AlphaDEX?A GBP,ETF,EQUITY,Google,IE00B8X9NZ57,FKU,FKU.L,UK Large-Cap Blend Equity,GBX,LON:FKU,
First Trust US Lg Cp Cor AlphaDEX?A USD GBP,ETF,EQUITY,Google,IE00B8X9NW27,FEX,FEX.L,US Large-Cap Blend Equity,USD,LON:FEX,
FT Emerging Markets AlphaDEX?ETF A USD GBP,ETF,EQUITY,Google,IE00B8X9NX34,FEM,FEM.L,Global Emerging Markets Equity,USD,LON:FEM,
HSBC EURO STOXX 50 ETF GBP,ETF,EQUITY,Google,IE00B4K6B022,H50E,H50E.L,Eurozone Large-Cap Equity,GBX,LON:H50E,
HSBC FTSE 100 ETF,ETF,EQUITY,Google,IE00B42TW061,HUKX,HUKX.L,UK Large-Cap Blend Equity,GBX,LON:HUKX,
HSBC FTSE 250 ETF,ETF,EQUITY,Google,IE00B64PTF05,HMCX,HMCX.L,UK Mid-Cap Equity,GBX,LON:HMCX,
HSBC FTSE EPRA/NAREIT Developed ETF GBP,ETF,PROPERTY,Google,IE00B5L01S80,HPRO,HPRO.L,Property - Indirect Global,USD,LON:HPRO,
HSBC MSCI AC FAR EAST ex JAPAN ETF GBP,ETF,EQUITY,Google,IE00BBQ2W338,HMAF,HMAF.L,Asia ex Japan Equity,USD,LON:HMAF,
HSBC MSCI Brazil ETF GBP,ETF,EQUITY,Google,IE00B5W34K94,HBRL,HBRL.L,Brazil Equity,GBX,LON:HBRL,
HSBC MSCI Canada ETF GBP,ETF,EQUITY,Google,IE00B51B7Z02,HCAN,HCAN.L,Canada Equity,USD,LON:HCAN,
HSBC MSCI China ETF GBP,ETF,EQUITY,Google,IE00B44T3H88,HMCH,HMCH.L,China Equity,USD,LON:HMCH,
HSBC MSCI EM Far East ETF GBP,ETF,EQUITY,Google,IE00B5LP3W10,HMFE,HMFE.L,Asia ex Japan Equity,USD,LON:HMFE,
HSBC MSCI EM LA ETF GBP,ETF,EQUITY,Google,IE00B4TS3815,HMLA,HMLA.L,Latin America Equity,USD,LON:HMLA,
HSBC MSCI Emerg Mkts ETF GBP,ETF,EQUITY,Google,IE00B5SSQT16,HMEF,HMEF.L,Global Emerging Markets Equity,USD,LON:HMEF,
HSBC MSCI Europe ETF GBP,ETF,EQUITY,Google,IE00B5BD5K76,HMEU,HMEU.L,Europe Large-Cap Blend Equity,GBX,LON:HMEU,
HSBC MSCI Indonesia ETF GBP,ETF,EQUITY,Google,IE00B46G8275,HIDR,HIDR.L,Indonesia Equity,USD,LON:HIDR,
HSBC MSCI JAPAN ETF GBP,ETF,EQUITY,Google,IE00B5VX7566,HMJP,HMJP.L,Japan Large-Cap Equity,USD,LON:HMJP,
HSBC MSCI Korea ETF GBP,ETF,EQUITY,Google,IE00B3Z0X395,HKOR,HKOR.L,Korea Equity,USD,LON:HKOR,
HSBC MSCI Malaysia ETF GBP,ETF,EQUITY,Google,IE00B3X3R831,HMYR,HMYR.L,Other Asia-Pacific Equity,USD,LON:HMYR,
HSBC MSCI Mexico Capped ETF GBP,ETF,EQUITY,Google,IE00B3QMYK80,HMEX,HMEX.L,Other Americas Equity,USD,LON:HMEX,
HSBC MSCI Pacific ex Japan ETF GBP,ETF,EQUITY,Google,IE00B5SG8Z57,HMXJ,HMXJ.L,Asia-Pacific ex-Japan Equity,USD,LON:HMXJ,
HSBC MSCI Russia Capped ETF GBP,ETF,EQUITY,Google,IE00B5LJZQ16,HRUB,HRUB.L,Russia Equity,USD,LON:HRUB,
HSBC MSCI Turkey ETF GBP,ETF,EQUITY,Google,IE00B5BRQB73,HTRY,HTRY.L,Turkey Equity,USD,LON:HTRY,
HSBC MSCI USA ETF GBP,ETF,EQUITY,Google,IE00B5WFQ436,HMUS,HMUS.L,US Large-Cap Blend Equity,USD,LON:HMUS,
HSBC MSCI World ETF GBP,ETF,EQUITY,Google,IE00B4X9L533,HMWO,HMWO.L,Global Large-Cap Blend Equity,USD,LON:HMWO,
HSBC S&P 500 ETF GBP,ETF,EQUITY,Google,IE00B5KQNG97,HSPX,HSPX.L,US Large-Cap Blend Equity,USD,LON:HSPX,
iShares $ High Yld Corp Bd USD Dist JDR GBP,ETF,BOND,Google,IE00B4PY7Y77,SHYU,SHYU.L,USD High Yield Bond,GBP,LON:SHYU,
iShares $ TIPS GBP,ETF,BOND,Google,IE00B1FZSC47,ITPS,ITPS.L,USD Inflation-Linked Bond,USD,LON:ITPS,
iShares $ Treasury Bond 1-3yr GBP,ETF,BOND,Google,IE00B14X4S71,IBTS,IBTS.L,USD Government Bond,USD,LON:IBTS,
iShares $ Treasury Bond 3-7yr USD Acc GBP,ETF,BOND,Google,IE00B3VWN393,CU71,CU71.L,USD Government Bond,GBX,LON:CU71,
iShares $ Treasury Bond 7-10yr GBP,ETF,BOND,Google,IE00B1FZS798,IBTM,IBTM.L,USD Government Bond,USD,LON:IBTM,
iShares $ Treasury Bond 7-10yr USD Acc GBP,ETF,BOND,Google,IE00B3VWN518,CU01,CU01.L,USD Government Bond,GBX,LON:CU01,
iShares àCorp Bond 0-5yr GBP Dist,ETF,BOND,Google,IE00B5L65R35,IS15,IS15.L,GBP Corporate Bond,EUR,LON:IS15,
iShares àCorp Bond ex-Fincls GBP Dist,ETF,BOND,Google,IE00B4L60H17,ISXF,ISXF.L,GBP Corporate Bond,EUR,LON:ISXF,
iShares àIndex-Linked Gilts GBP Dist,ETF,BOND,Google,IE00B1FZSD53,INXG,INXG.L,GBP Inflation-Linked Bond,GBP,LON:INXG,
iShares àUltrashort Bond GBP Dist,ETF,BOND,Google,IE00BCRY6441,ERNS,ERNS.L,GBP Diversified Bond - Short Term,GBP,LON:ERNS,
