65Name,AssetType,Underlying,Source,isin,code,category, currency,googleCode
iShares Core FTSE 100 GBP Dist,ETF,EQUITY,Google,IE0005042456,ISF,UK Large-Cap Blend Equity,GBX,LON:ISF
iShares Core MSCI EM IMI USD Acc GBP,ETF,EQUITY,Google,IE00BKM4GZ66,EMIM,Global Emerging Markets Equity,USD,LON:EMIM
iShares Core MSCI Japan IMI USD Acc GBP,ETF,EQUITY,Google,IE00B4L5YX21,SJPA,Japan Large-Cap Equity,GBX,LON:SJPA
iShares Core MSCI Pacific ex-Jpn USD Acc GBP,ETF,EQUITY,Google,IE00B52MJY50,CPJ1,Asia-Pacific ex-Japan Equity,GBX,LON:CPJ1
iShares Core MSCI World USD Acc GBP,ETF,EQUITY,Google,IE00B4L5Y983,SWDA,Global Large-Cap Blend Equity,GBX,LON:SWDA
iShares Core S&P 500 USD (Acc) GBP,ETF,EQUITY,Google,IE00B5BMR087,CSP1,US Large-Cap Blend Equity,GBX,LON:CSP1
iShares Core UK Gilts GBP Dist,ETF,BOND,Google,IE00B1FZSB30,IGLT,GBP Government Bond,GBP,LON:IGLT
iShares Developed Markets Property Yld GBP,ETF,PROPERTY,Google,IE00B1FZS350,IWDP,Property - Indirect Global,USD,LON:IWDP
iShares Dow Jones Glbl Sstnbty Scrnd$Acc GBP,ETF,EQUITY,Google,IE00B57X3V84,IGSG,Global Large-Cap Blend Equity,GBX,LON:IGSG
iShares Dow Jones Industrial Avg USD Acc GBP,ETF,EQUITY,Google,IE00B53L4350,CID1,US Large-Cap Blend Equity,GBX,LON:CID1
iShares Edge MSCI EM Minimum Vol USD Acc GBP,ETF,EQUITY,Google,IE00B8KGV557,EMV,Global Emerging Markets Equity,USD,LON:EMV
iShares Edge MSCI Europe Min Vol EUR Acc GBP,ETF,EQUITY,Google,IE00B86MWN23,IMV,Europe Large-Cap Blend Equity,EUR,LON:IMV
iShares Edge MSCI Wld Mom Fctr USD Acc GBP,ETF,EQUITY,Google,IE00BP3QZ825,IWFM,Global Large-Cap Blend Equity,GBX,LON:IWFM
iShares Edge MSCI Wld Qual Fctr USD Acc GBP,ETF,EQUITY,Google,IE00BP3QZ601,IWFQ,Global Large-Cap Blend Equity,GBX,LON:IWFQ
iShares Edge MSCI Wld Size Fctr USD Acc GBP,ETF,EQUITY,Google,IE00BP3QZD73,IWFS,Global Small-Cap Equity,GBX,LON:IWFS
iShares Edge MSCI World Min Vol USD Acc GBP,ETF,EQUITY,Google,IE00B8FHGS14,MINV,Global Large-Cap Blend Equity,USD,LON:MINV
iShares Edge S&P 500 Min Vol USD (Acc) GBP,ETF,EQUITY,Google,IE00B6SPMN59,MVUS,US Large-Cap Blend Equity,USD,LON:MVUS
iShares EM Dividend USD Dist GBP,ETF,EQUITY,Google,IE00B652H904,SEDY,Global Emerging Markets Equity,GBX,LON:SEDY
iShares EM Local Govt Bond USD Dist GBP,ETF,BOND,Google,IE00B5M4WH52,SEML,Global Emerging Markets Bond - Local Currency,GBP,LON:SEML
iShares Emerg Asia Lcl Govt Bd USD Dist GBP,ETF,BOND,Google,IE00B6QGFW01,SGEA,Global Emerging Markets Bond - Local Currency,GBP,LON:SGEA
iShares Emerging Market Infrastructure GBP,ETF,EQUITY,Google,IE00B2NPL135,IEMI,Sector Equity Infrastructure,USD,LON:IEMI
iShares EURO Dividend GBP,ETF,EQUITY,Google,IE00B0M62S72,IDVY,Eurozone Large-Cap Equity,GBX,LON:IDVY
iShares Euro Government Bond 1-3yr GBP,ETF,BOND,Google,IE00B14X4Q57,IBGS,EUR Government Bond - Short Term,GBP,LON:IBGS
iShares Euro Government Bond 15-30yr GBP,ETF,BOND,Google,IE00B1FZS913,IBGL,EUR Bond - Long Term,EUR,LON:IBGL
iShares Euro Government Bond 3-5yr GBP,ETF,BOND,Google,IE00B1FZS681,IBGX,EUR Government Bond,EUR,LON:IBGX
iShares Euro Government Bond 7-10yr GBP,ETF,BOND,Google,IE00B1FZS806,IBGM,EUR Government Bond,EUR,LON:IBGM
iShares EURO STOXX 50 Dist GBP,ETF,EQUITY,Google,IE0008471009,EUE,Eurozone Large-Cap Equity,GBX,LON:EUE
iShares EURO STOXX Mid GBP,ETF,EQUITY,Google,IE00B02KXL92,DJMC,Eurozone Mid-Cap Equity,GBX,LON:DJMC
iShares EURO STOXX Small GBP,ETF,EQUITY,Google,IE00B02KXM00,DJSC,Eurozone Mid-Cap Equity,GBX,LON:DJSC
iShares EURO Total Market Growth Large GBP,ETF,EQUITY,Google,IE00B0M62V02,IDJG,Eurozone Large-Cap Equity,GBX,LON:IDJG
iShares EURO Total Market Value Large GBP,ETF,EQUITY,Google,IE00B0M62T89,IDJV,Eurozone Large-Cap Equity,GBX,LON:IDJV
iShares European Property Yield GBP,ETF,PROPERTY,Google,IE00B0M63284,IPRP,Property - Indirect Europe,GBX,LON:IPRP
iShares Finland Govt Bond EUR Dist GBP,ETF,BOND,Google,IE00B5SH2232,SFIN,EUR Government Bond,GBP,LON:SFIN
iShares FTSE 100 GBP Acc GBP,ETF,EQUITY,Google,IE00B53HP851,CUKX,UK Large-Cap Blend Equity,GBX,LON:CUKX
iShares FTSE 250 GBP Dist,ETF,EQUITY,Google,IE00B00FV128,MIDD,UK Mid-Cap Equity,GBX,LON:MIDD
iShares FTSE MIB EUR Acc GBP,ETF,EQUITY,Google,IE00B53L4X51,CMB1,Italy Equity,GBX,LON:CMB1
iShares FTSE MIB EUR Dist GBP,ETF,EQUITY,Google,IE00B1XNH568,IMIB,Italy Equity,GBX,LON:IMIB
iShares FTSEurofirst 100 EUR Dist GBP,ETF,EQUITY,Google,IE0030974079,IEUT,Europe Large-Cap Blend Equity,GBX,LON:IEUT
iShares FTSEurofirst 80 EUR Dist GBP,ETF,EQUITY,Google,IE0004855221,IEUR,Eurozone Large-Cap Equity,GBX,LON:IEUR
iShares Germany Govt Bond EUR Dist GBP,ETF,BOND,Google,IE00B5V94313,SDEU,EUR Government Bond,GBP,LON:SDEU
iShares Global AAA-AA Govt Bond USD Dist GBP,ETF,BOND,Google,IE00B87G8S03,SAAA,Global Bond,USD,LON:SAAA
iShares Global Clean Energy GBP,ETF,EQUITY,Google,IE00B1XNHC34,INRG,Sector Equity Alternative Energy,USD,LON:INRG
iShares Global Corp Bond USD Dist GBP,ETF,BOND,Google,IE00B7J7TB45,CRPS,Global Corporate Bond,USD,LON:CRPS
iShares Global Govt Bond USD Dist GBP,ETF,BOND,Google,IE00B3F81K65,SGLO,Global Bond,GBP,LON:SGLO
iShares Global Hi Yld Corp Bd GBP H Dist,ETF,BOND,Google,IE00B8KQFS66,GHYS,Global High Yield Bond - GBP Hedged,GBP,LON:GHYS
iShares Global HY Corp Bd USD Dist GBP,ETF,BOND,Google,IE00B74DQ490,IGHY,Global High Yield Bond,USD,LON:IGHY
iShares Global Infl Lnkd Govt Bd USD Acc GBP,ETF,BOND,Google,IE00B3B8PX14,SGIL,Global Inflation-Linked Bond,GBP,LON:SGIL
iShares Global Infrastructure GBP,ETF,EQUITY,Google,IE00B1FZS467,INFR,Sector Equity Infrastructure,USD,LON:INFR
iShares Global Timber & Forestry GBP,ETF,EQUITY,Google,IE00B27YCF74,WOOD,Sector Equity Natural Resources,USD,LON:WOOD
iShares Global Water GBP,ETF,EQUITY,Google,IE00B1TXK627,IH2O,Sector Equity Water,GBX,LON:IH2O
iShares Gold Producers USD Acc GBP,ETF,EQUITY,Google,IE00B6R52036,SPGP,Sector Equity Precious Metals,GBX,LON:SPGP
iShares Italy Govt Bond EUR Dist GBP,ETF,BOND,Google,IE00B7LW6Y90,SITB,EUR Government Bond,GBP,LON:SITB
iShares JP Morgan $ EM Bond USD Dist GBP,ETF,BOND,Google,IE00B2NPKV68,SEMB,Global Emerging Markets Bond,GBX,LON:SEMB
iShares Listed Private Equity GBP,ETF,EQUITY,Google,IE00B1TXHL60,IPRV,Sector Equity Private Equity,USD,LON:IPRV
iShares MSCI AC Far East ex-Japan GBP,ETF,EQUITY,Google,IE00B0M63730,IFFF,Asia ex Japan Equity,USD,LON:IFFF
iShares MSCI AC FarEast ex-Jpn SmCap$Dit GBP,ETF,EQUITY,Google,IE00B2QWDR12,ISFE,Asia ex-Japan Small/Mid-Cap Equity,USD,LON:ISFE
iShares MSCI ACWI USD Acc GBP,ETF,EQUITY,Google,IE00B6R52259,SSAC,Global Large-Cap Blend Equity,GBX,LON:SSAC
iShares MSCI Australia USD Acc GBP,ETF,EQUITY,Google,IE00B5377D42,SAUS,Australia & New Zealand Equity,GBX,LON:SAUS
iShares MSCI Brazil Dist GBP,ETF,EQUITY,Google,IE00B0M63516,IBZL,Brazil Equity,USD,LON:IBZL
iShares MSCI Canada USD Acc GBP,ETF,EQUITY,Google,IE00B52SF786,CSCA,Canada Equity,USD,LON:CSCA
iShares MSCI Eastern Europe Capped GBP,ETF,EQUITY,Google,IE00B0M63953,IEER,Emerging Europe Equity,USD,LON:IEER
iShares MSCI EM Asia USD Acc GBP,ETF,EQUITY,Google,IE00B5L8K969,CEA1,Asia ex Japan Equity,GBX,LON:CEA1
iShares MSCI EM Latin America Dist GBP,ETF,EQUITY,Google,IE00B27YCK28,LTAM,Latin America Equity,USD,LON:LTAM
iShares MSCI EM Small Cap USD Dist GBP,ETF,EQUITY,Google,IE00B3F81G20,SEMS,Global Emerging Markets Small/Mid-Cap Equity,GBX,LON:SEMS
iShares MSCI Emerging Markets (Acc) GBP,ETF,EQUITY,Google,IE00B4L5YC18,SEMA,Global Emerging Markets Equity,GBX,LON:SEMA
iShares MSCI Emerging Markets Dist GBP,ETF,EQUITY,Google,IE00B0M63177,IEEM,Global Emerging Markets Equity,USD,LON:IEEM
iShares MSCI EMU Small Cap EUR Acc GBP,ETF,EQUITY,Google,IE00B3VWMM18,CES1,Eurozone Small-Cap Equity,GBX,LON:CES1
iShares MSCI Europe Dist GBP,ETF,EQUITY,Google,IE00B1YZSC51,IMEU,Europe Large-Cap Blend Equity,GBX,LON:IMEU
iShares MSCI Europe EUR Acc GBP,ETF,EQUITY,Google,IE00B4K48X80,SMEA,Europe Large-Cap Blend Equity,GBX,LON:SMEA
iShares MSCI Europe ex-UK EUR Dist GBP,ETF,EQUITY,Google,IE00B14X4N27,IEUX,Europe ex-UK Large-Cap Equity,GBX,LON:IEUX
iShares MSCI Europe SRI EUR Acc GBP,ETF,EQUITY,Google,IE00B52VJ196,IESG,Europe Large-Cap Blend Equity,GBX,LON:IESG
iShares MSCI GCC ex-Saudi Arabia GBP,ETF,EQUITY,Google,IE00B3F81623,SGCC,Other Africa & Middle East Equity,GBX,LON:SGCC
iShares MSCI Japan GBP Hedged Acc,ETF,EQUITY,Google,IE00B02KXH56,IJPN,Japan Equity - Currency Hedged,USD,LON:IJPN
iShares MSCI Japan Small Cap USD Dist GBP,ETF,EQUITY,Google,IE00B7XYN974,IJPH,Japan Small/Mid-Cap Equity,GBP,LON:IJPH
iShares MSCI Japan USD Acc GBP,ETF,EQUITY,Google,IE00B2QWDY88,ISJP,Japan Large-Cap Equity,GBX,LON:ISJP
iShares MSCI Japan USD Dist GBP,ETF,EQUITY,Google,IE00B53QDK08,CSJP,Japan Large-Cap Equity,USD,LON:CSJP
iShares MSCI Korea Dist GBP,ETF,EQUITY,Google,IE00B0M63391,IKOR,Korea Equity,USD,LON:IKOR
iShares MSCI Korea USD Acc GBP,ETF,EQUITY,Google,IE00B5W4TY14,CKR1,Korea Equity,GBX,LON:CKR1
iShares MSCI Mexico Capped USD Acc GBP,ETF,EQUITY,Google,IE00B5WHFQ43,CMX1,Other Americas Equity,GBX,LON:CMX1
iShares MSCI North America GBP,ETF,EQUITY,Google,IE00B14X4M10,INAA,US Large-Cap Blend Equity,USD,LON:INAA
iShares MSCI Pacific ex-Japan USD Dist GBP,ETF,EQUITY,Google,IE00B4WXJD03,SPXJ,Asia-Pacific ex-Japan Equity,GBX,LON:SPXJ
iShares MSCI Poland USD Acc GBP,ETF,EQUITY,Google,IE00B4M7GH52,SPOL,Poland Equity,GBX,LON:SPOL
iShares MSCI Russia ADR/GDR USD Acc GBP,ETF,EQUITY,Google,IE00B5V87390,CRU1,Russia Equity,GBX,LON:CRU1
iShares MSCI South Africa USD Acc GBP,ETF,EQUITY,Google,IE00B52XQP83,SRSA,South Africa & Namibia Equity,GBX,LON:SRSA
iShares MSCI Taiwan USD Dist GBP,ETF,EQUITY,Google,IE00B0M63623,ITWN,Taiwan Large-Cap Equity,USD,LON:ITWN
iShares MSCI Turkey GBP,ETF,EQUITY,Google,IE00B1FZS574,ITKY,Turkey Equity,USD,LON:ITKY
iShares MSCI UK Small Cap GBP Acc GBP,ETF,EQUITY,Google,IE00B3VWLG82,CUKS,UK Small-Cap Equity,GBX,LON:CUKS
iShares MSCI USA Small Cap USD Acc GBP,ETF,EQUITY,Google,IE00B3VWM098,CUS1,US Small-Cap Equity,GBX,LON:CUS1
iShares MSCI World GBP Hedged Acc,ETF,EQUITY,Google,IE00B42YS929,IGWD,Global Large-Cap Blend Equity,GBX,LON:IGWD
iShares MSCI World USD Dist GBP,ETF,EQUITY,Google,IE00B0M62Q58,IWRD,Global Large-Cap Blend Equity,USD,LON:IWRD
iShares NASDAQ 100 USD Acc GBP,ETF,EQUITY,Google,IE00B53SZB19,CNX1,US Large-Cap Growth Equity,GBX,LON:CNX1
iShares Nikkei 225 JPY Acc GBP,ETF,EQUITY,Google,IE00B52MJD48,CNKY,Japan Large-Cap Equity,GBX,LON:CNKY
iShares Oil & Gas Explor&Prodtn USD Acc GBP,ETF,EQUITY,Google,IE00B6R51Z18,SPOG,Sector Equity Natural Resources,GBX,LON:SPOG
iShares Physical Gold ETC GBP,ETF,COMMODITIES,Google,IE00B4ND3602,SGLN,Commodities - Precious Metals,GBX,LON:SGLN
iShares Physical Palladium ETC GBP,ETF,COMMODITIES,Google,IE00B4556L06,SPDM,Commodities - Precious Metals,GBX,LON:SPDM
iShares Physical Platinum ETC GBP,ETF,COMMODITIES,Google,IE00B4LHWP62,SPLT,Commodities - Precious Metals,GBX,LON:SPLT
iShares Physical Silver ETC GBP,ETF,COMMODITIES,Google,IE00B4NCWG09,SSLN,Commodities - Precious Metals,GBX,LON:SSLN
iShares S&P 500 GBP Hedged Acc,ETF,EQUITY,Google,IE00B3Y8X563,IGUS,US Equity - Currency Hedged,GBX,LON:IGUS
iShares S&P 500 USD (Dist) GBP,ETF,EQUITY,Google,IE0031442068,IUSA,US Large-Cap Blend Equity,USD,LON:IUSA
iShares S&P Small Cap 600 USD Dist GBP,ETF,EQUITY,Google,IE00B2QWCY14,ISP6,US Small-Cap Equity,USD,LON:ISP6
iShares Spain Govt Bond EUR Dist GBP,ETF,BOND,Google,IE00B428Z604,SESP,EUR Government Bond,GBP,LON:SESP
iShares STOXX Europe 50 GBP,ETF,EQUITY,Google,IE0008470928,EUN,Europe Large-Cap Blend Equity,GBX,LON:EUN
iShares UK Dividend GBP Dist,ETF,EQUITY,Google,IE00B0M63060,IUKD,UK Equity Income,GBX,LON:IUKD
iShares UK Gilts 0-5yr GBP Dist,ETF,BOND,Google,IE00B4WXJK79,IGLS,GBP Government Bond,GBP,LON:IGLS
iShares UK Property GBP Dist,ETF,PROPERTY,Google,IE00B1TXLS18,IUKP,Property - Indirect Other,GBX,LON:IUKP
iShares US Aggregate Bond USD Dist GBP,ETF,BOND,Google,IE00B44CGS96,SUAG,USD Diversified Bond,GBP,LON:SUAG
iShares US Property Yield GBP,ETF,PROPERTY,Google,IE00B1FZSF77,IUSP,Property - Indirect North America,USD,LON:IUSP
Lyxor Australia (S&P/ASX 200) ETF D USD GBP,ETF,EQUITY,Google,LU0496787036,LAUS,Australia & New Zealand Equity,GBX,LON:LAUS
Lyxor Brazil (Ibovespa) ETF C-USD GBP,ETF,EQUITY,Google,FR0010413294,RIOL,Brazil Equity,USD,LON:RIOL
Lyxor China Enterprise (HSCEI) ETF C-USD GBP,ETF,EQUITY,Google,FR0010581413,ASIL,China Equity,USD,LON:ASIL
Lyxor Comd Thm R/C CRB exEngTR ETF C-$ GBP,ETF,COMMODITIES,Google,FR0010358887,CRNL,Commodities - Broad Basket,USD,LON:CRNL
Lyxor Commodit Thm R/C CRB TR ETF C-USD GBP,ETF,COMMODITIES,Google,FR0010318998,CRBL,Commodities - Broad Basket,USD,LON:CRBL
Lyxor East Eurp CECE NTR EUR ETF C GBP,ETF,EQUITY,Google,FR0010204073,CECL,Emerging Europe ex-Russia Equity,USD,LON:CECL
Lyxor ETF Dow Jones Industr Avrg D A/I GBP,ETF,EQUITY,Google,FR0007056841,DJEL,US Large-Cap Blend Equity,USD,LON:DJEL
Lyxor Euro Stoxx 50 (DR) ETF C EUR GBP,ETF,EQUITY,Google,LU0908501215,MSED,Eurozone Large-Cap Equity,GBX,LON:MSED
Lyxor FTSE 100 ETF C-GBP,ETF,EQUITY,Google,FR0010438127,L100,UK Large-Cap Blend Equity,GBX,LON:L100
Lyxor FTSE 250 ETF A/I,ETF,EQUITY,Google,FR0010438135,L250,UK Mid-Cap Equity,GBX,LON:L250
Lyxor FTSE All Share ETF A/I,ETF,EQUITY,Google,FR0010438150,LFAS,UK Large-Cap Blend Equity,GBX,LON:LFAS
Lyxor Japan TOPIX DR ETF D-EUR A/I GBP,ETF,EQUITY,Google,FR0010245514,JPNL,Japan Large-Cap Equity,USD,LON:JPNL
Lyxor JPX-Nikkei 400 DR ETF C-EUR GBP,ETF,EQUITY,Google,FR0012144582,JPXG,Japan Large-Cap Equity,GBX,LON:JPXG
Lyxor Kuwait FTSE Coast Kuwait40 ETF A/I GBP,ETF,EQUITY,Google,FR0010614834,LKUW,Other Africa & Middle East Equity,GBX,LON:LKUW
Lyxor MSCI AC AsiaPac ex Jap ETF C-USD GBP,ETF,EQUITY,Google,FR0010581439,AEJL,Asia-Pacific ex-Japan Equity,GBX,LON:AEJL
Lyxor MSCI All Country World ETF C-USD GBP,ETF,EQUITY,Google,FR0011093418,ACWL,Global Large-Cap Blend Equity,GBX,LON:ACWL
Lyxor MSCI EM Latin America ETF C-USD GBP,ETF,EQUITY,Google,FR0010413310,LTML,Latin America Equity,USD,LON:LTML
Lyxor MSCI Emerging Markets ETF C-USD GBP,ETF,EQUITY,Google,FR0010435297,LEML,Global Emerging Markets Equity,USD,LON:LEML
Lyxor MSCI India ETF C-USD GBP,ETF,EQUITY,Google,FR0010375766,INRL,India Equity,USD,LON:INRL
Lyxor MSCI Indonesia ETF C-USD GBP,ETF,EQUITY,Google,FR0011070374,INDL,Indonesia Equity,GBX,LON:INDL
Lyxor MSCI Korea ETF C-USD GBP,ETF,EQUITY,Google,FR0010581447,KRWL,Korea Equity,GBX,LON:KRWL
Lyxor MSCI Malaysia ETF USD A/I GBP,ETF,EQUITY,Google,FR0010589069,MALL,Other Asia-Pacific Equity,GBX,LON:MALL
Lyxor MSCI Taiwan ETF C-USD GBP,ETF,EQUITY,Google,FR0010444794,TWND,Taiwan Large-Cap Equity,GBX,LON:TWND
Lyxor MSCI USA ETF D-USD A/I GBP,ETF,EQUITY,Google,FR0010372193,USAL,US Large-Cap Blend Equity,USD,LON:USAL
Lyxor MSCI World Cnsmr Discret TR ETF C$ GBP,ETF,EQUITY,Google,LU0533032180,DISG,Sector Equity Consumer Goods & Services,GBX,LON:DISG
Lyxor MSCI World CnsmrStapl TR ETF C USD GBP,ETF,EQUITY,Google,LU0533032347,STAG,Sector Equity Consumer Goods & Services,GBX,LON:STAG
Lyxor MSCI World Energy TR ETF C USD GBP,ETF,EQUITY,Google,LU0533032776,NRGG,Sector Equity Energy,GBX,LON:NRGG
Lyxor MSCI World ETF D-USD A/I GBP,ETF,EQUITY,Google,FR0010372201,WLDL,Global Large-Cap Blend Equity,USD,LON:WLDL
Lyxor MSCI World Financials TR ETF C USD GBP,ETF,EQUITY,Google,LU0533033071,FING,Sector Equity Financial Services,GBX,LON:FING
Lyxor MSCI World Hlth Care TR ETF C USD GBP,ETF,EQUITY,Google,LU0533033311,HLTG,Sector Equity Healthcare,GBX,LON:HLTG
Lyxor MSCI World Indtls TR ETF C USD GBP,ETF,EQUITY,Google,LU0533033584,INUG,Sector Equity Industrial Materials,GBX,LON:INUG
Lyxor MSCI World Info Tech TR ETF C USD GBP,ETF,EQUITY,Google,LU0533033741,TNOG,Sector Equity Technology,GBX,LON:TNOG
Lyxor MSCI World Materials TR ETF C USD GBP,ETF,EQUITY,Google,LU0533034046,MATG,Sector Equity Industrial Materials,GBX,LON:MATG
Lyxor MSCI World Telecom Svcs TR ETF C$ GBP,ETF,EQUITY,Google,LU0533034392,TELG,Sector Equity Communications,GBX,LON:TELG
Lyxor MSCI World Utilities TR ETF C USD GBP,ETF,EQUITY,Google,LU0533034632,UTIG,Sector Equity Utilities,GBX,LON:UTIG
Lyxor Nasdaq-100 ETF D-USD A/I GBP,ETF,EQUITY,Google,FR0010446930,UST,US Large-Cap Growth Equity,GBX,LON:UST
Lyxor Russell 2000 ETF C-USD GBP,ETF,EQUITY,Google,FR0011119254,RU2K,US Small-Cap Equity,GBX,LON:RU2K
Lyxor Russia (DJ Russia GDR) ETF D-GBP,ETF,EQUITY,Google,FR0011495944,RUSL,Russia Equity,USD,LON:RUSL
Lyxor SG European Qual Inc NTR ETF D EUR GBP,ETF,EQUITY,Google,LU0959210278,SGQG,Europe Large-Cap Blend Equity,GBX,LON:SGQG
Lyxor SG Global Qual Inc NTR ETF C GBP,ETF,EQUITY,Google,LU0855692520,SGQL,Global Equity Income,USD,LON:SGQL
Lyxor SG Global Qual Inc NTR ETF D GBP,ETF,EQUITY,Google,LU0855671011,SGQP,Global Equity Income,GBX,LON:SGQP
Lyxor South Afr (FTSEJSE Top40) ETF CEUR GBP,ETF,EQUITY,Google,FR0010464446,AFSL,South Africa & Namibia Equity,USD,LON:AFSL
Lyxor Stoxx Europe 600 (DR) ETF C EUR GBP,ETF,EQUITY,Google,LU0908500753,MEUD,Europe Large-Cap Blend Equity,GBX,LON:MEUD
Lyxor Thailand (SET50 Net TR) ETF C-USD GBP,ETF,EQUITY,Google,FR0011070440,THA,Thailand Equity,GBX,LON:THA
Lyxor Turkey DJ Turkey Titans 20 ETF A/I GBP,ETF,EQUITY,Google,FR0010326256,TURL,Turkey Equity,GBX,LON:TURL
Lyxor World Water ETF D-EUR A/I GBP,ETF,EQUITY,Google,FR0010527275,WATL,Sector Equity Water,GBX,LON:WATL
Market Access DAXglobal?BRIC ETF GBP,ETF,EQUITY,Google,LU0269999792,BRDX,BRIC Equity,GBP,LON:BRDX
Market Access NYSE Arca GoldBugs ETF GBP,ETF,EQUITY,Google,LU0259322260,GOLB,Sector Equity Precious Metals,GBP,LON:GOLB
Ossiam FTSE 100 Minimum Var ETF 1C GBP,ETF,EQUITY,Google,LU0705291739,UKMV,UK Large-Cap Blend Equity,GBX,LON:UKMV
Ossiam iSTOXX?EurMiniVar NR ETF 1C GBP,ETF,EQUITY,Google,LU0599612842,LEMV,Europe Large-Cap Blend Equity,GBX,LON:LEMV
Ossiam STOXX?Eur600 EqWg NR ETF 1C GBP,ETF,EQUITY,Google,LU0599613147,L6EW,Europe Large-Cap Blend Equity,GBX,LON:L6EW
PIMCO ST HY Corp Bd Sour ETF Inc GBP,ETF,BOND,Google,IE00B7N3YW49,SSHY,USD High Yield Bond,GBP,LON:SSHY
PIMCO Sterling Short Maturity Source ETF,ETF,BOND,Google,IE00B622SG73,QUID,GBP Diversified Bond - Short Term,GBP,LON:QUID
PowerShares Dynamic US Market ETF GBP,ETF,EQUITY,Google,IE00B23D9240,PSWC,US Large-Cap Blend Equity,USD,LON:PSWC
PowerShares EQQQ Nasdaq-100 ETF GBP,ETF,EQUITY,Google,IE0032077012,EQQQ,US Large-Cap Growth Equity,USD,LON:EQQQ
PowerShares FTSE RAFI All-World 3000 ETF GBP,ETF,EQUITY,Google,IE00B23LNQ02,PSRW,Global Flex-Cap Equity,GBX,LON:PSRW
PowerShares FTSE RAFI Emerging Mkts ETF GBP,ETF,EQUITY,Google,IE00B23D9570,PSRM,Global Emerging Markets Equity,GBX,LON:PSRM
PowerShares FTSE RAFI Europe ETF GBP,ETF,EQUITY,Google,IE00B23D8X81,PSRE,Europe Large-Cap Value Equity,GBX,LON:PSRE
PowerShares FTSE RAFI Europe Md-Sm ETF GBP,ETF,EQUITY,Google,IE00B23D8Y98,PSES,Europe Mid-Cap Equity,GBX,LON:PSES
PowerShares FTSE RAFI UK 100 ETF,ETF,EQUITY,Google,IE00B23LNN70,PSRU,UK Large-Cap Value Equity,GBX,LON:PSRU
PowerShares FTSE RAFI US 1000 ETF GBP,ETF,EQUITY,Google,IE00B23D8S39,PSRF,US Large-Cap Value Equity,USD,LON:PSRF
Source Cnsmr Stapl S&P US Sel Sect ETF GBP,ETF,EQUITY,Google,IE00B435BG20,XLPP,Sector Equity Consumer Goods & Services,GBX,LON:XLPP
Source FTSE 100 ETF,ETF,EQUITY,Google,IE00B60SWT88,S100,UK Large-Cap Blend Equity,GBX,LON:S100
Source FTSE 250 ETF,ETF,EQUITY,Google,IE00B60SWV01,S250,UK Mid-Cap Equity,GBX,LON:S250
Source LGIM Commodity Composite ETF GBP,ETF,COMMODITIES,Google,IE00B4TXPP71,LGCF,Commodities - Broad Basket,USD,LON:LGCF
Source Mstar US Enrgy Infra MLP ETF B GBP,ETF,EQUITY,Google,IE00B8CJW150,MLPP,Sector Equity Energy,GBX,LON:MLPP
Source Physical Gold P-ETC GBP,ETF,COMMODITIES,Google,IE00B579F325,SGLP,Commodities - Precious Metals,GBX,LON:SGLP
Source Technology S&P US Select Sect ETF GBP,ETF,EQUITY,Google,IE00B3VSSL01,XLKQ,Sector Equity Technology,GBX,LON:XLKQ
SPDR?Barclays 0-3 Year US Corp Bd ETF GBP,ETF,BOND,Google,IE00BC7GZX26,SUSD,USD Corporate Bond,GBP,LON:SUSD
SPDR?Barclays 0-5 Year Stlg Corp Bd ETF,ETF,BOND,Google,IE00BCBJF711,SUKC,GBP Corporate Bond,GBP,LON:SUKC
SPDR?Barclays 1-5 Year Gilt ETF,ETF,BOND,Google,IE00B6YX5K17,GLTS,GBP Government Bond,GBP,LON:GLTS
SPDR?Barclays Emerging Mkts Lcl Bd ETF GBP,ETF,BOND,Google,IE00B4613386,EMDL,Global Emerging Markets Bond - Local Currency,GBP,LON:EMDL
SPDR?Barclays Sterling Corporate Bd ETF,ETF,BOND,Google,IE00B4694Z11,UKCO,GBP Corporate Bond,GBP,LON:UKCO
SPDR?Dow Jones Global Real Estate ETF GBP,ETF,PROPERTY,Google,IE00B8GF1M35,GBRE,Property - Indirect Global,GBP,LON:GBRE
SPDR?FTSE UK All Share ETF,ETF,EQUITY,Google,IE00B7452L46,FTAL,UK Large-Cap Blend Equity,GBP,LON:FTAL
SPDR?MSCI EM Asia ETF GBP,ETF,EQUITY,Google,IE00B466KX20,EMAS,Asia ex Japan Equity,GBP,LON:EMAS
SPDR?MSCI EM Europe ETF GBP,ETF,EQUITY,Google,IE00B431K857,EMEO,Emerging Europe Equity,GBP,LON:EMEO
SPDR?MSCI EM Latin America ETF GBP,ETF,EQUITY,Google,IE00B454X613,EMLA,Latin America Equity,GBP,LON:EMLA
SPDR?MSCI Emerging Markets SmallCap ETF GBP,ETF,EQUITY,Google,IE00B48X4842,EMSM,Global Emerging Markets Small/Mid-Cap Equity,GBP,LON:EMSM
SPDR?S&P 500 ETF GBP,ETF,EQUITY,Google,IE00B6YX5C33,SPX5,US Large-Cap Blend Equity,USD,LON:SPX5
SPDR?S&P 500 Low Volatility ETF GBP,ETF,EQUITY,Google,IE00B802KR88,USLV,US Large-Cap Value Equity,GBP,LON:USLV
