65Name,AssetType,Underlying,Source,isin,code,category, currency,googleCode
db x-trackers S&P Select Frontier 1C GBP,ETF,EQUITY,Google,LU0328476410,XSFR,Global Frontier Markets Equity,USD,LON:XSFR
db x-trackers S&P/ASX 200 (DR) 1D GBP,ETF,EQUITY,Google,LU0328474803,XAUS,Australia & New Zealand Equity,GBX,LON:XAUS
db x-trackers ShortDAX Daily 1C GBP,ETF,EQUITY,Google,LU0292106241,XSDX,Trading - Leveraged/Inverse Equity,GBX,LON:XSDX
db x-trackers Stoxx Eurp600 (DR) 1C GBP,ETF,EQUITY,Google,LU0328475792,XSX6,Europe Large-Cap Blend Equity,GBX,LON:XSX6
db x-trackers Stoxx Eurp600 Banks 1C GBP,ETF,EQUITY,Google,LU0292103651,XS7R,Sector Equity Financial Services,GBX,LON:XS7R
db x-trackers Stoxx Eurp600 Bas Res 1C GBP,ETF,EQUITY,Google,LU0292100806,XSPR,Sector Equity Industrial Materials,GBX,LON:XSPR
db x-trackers Stoxx Eurp600 Food&Bev 1C GBP,ETF,EQUITY,Google,LU0292105359,XS3R,Sector Equity Consumer Goods & Services,GBX,LON:XS3R
db x-trackers Stoxx Eurp600 HC 1C GBP,ETF,EQUITY,Google,LU0292103222,XSDR,Sector Equity Healthcare,GBX,LON:XSDR
db x-trackers Stoxx Eurp600 IndlGds 1C GBP,ETF,EQUITY,Google,LU0292106084,XSNR,Sector Equity Industrial Materials,GBX,LON:XSNR
db x-trackers Stoxx Eurp600 Oil&Gas 1C GBP,ETF,EQUITY,Google,LU0292101796,XSER,Sector Equity Energy,GBX,LON:XSER
db x-trackers Stoxx Eurp600 Tech 1C GBP,ETF,EQUITY,Google,LU0292104469,XS8R,Sector Equity Technology,GBX,LON:XS8R
db x-trackers Stoxx Eurp600 Telecom 1C GBP,ETF,EQUITY,Google,LU0292104030,XSKR,Sector Equity Communications,GBX,LON:XSKR
db x-trackers Stoxx Eurp600 Utilities 1C GBP,ETF,EQUITY,Google,LU0292104899,XS6R,Sector Equity Utilities,GBX,LON:XS6R
db x-trackers Stoxx Glbl Sel Div 100 1D GBP,ETF,EQUITY,Google,LU0292096186,XGSD,Global Equity Income,USD,LON:XGSD
ETFS 3x Short EUR Long GBP,ETF,FX,Google,JE00B3W0MY68,SUP3,Other,GBX,LON:SUP3
ETFS 3x Short JPY Long GBP,ETF,FX,Google,JE00B3TG7R50,SYP3,Other,GBX,LON:SYP3
ETFS Agriculture ETC GBP,ETF,COMMODITIES,Google,GB00B15KYH63,AGAP,Commodities - Broad Agriculture,GBX,LON:AGAP
ETFS All Commodities ETC GBP,ETF,COMMODITIES,Google,GB00B15KY989,AGCP,Commodities - Broad Basket,GBX,LON:AGCP
ETFS Brent Oil 1 month ETC GBP,ETF,COMMODITIES,Google,GB00B0CTWC01,OLBP,Commodities - Energy,GBX,LON:OLBP
ETFS Carbon ETC GBP,ETF,COMMODITIES,Google,JE00B3CG6315,CARP,Commodities - Other,GBX,LON:CARP
ETFS Crude Oil ETC,ETF,COMMODITIES,Google,GB00B15KXV33,CRUD,Commodities - Energy,USD,LON:CRUD
ETFS DAX Daily 2x Long GO ETF GBP,ETF,EQUITY,Google,IE00B4QNHH68,DL2P,Trading - Leveraged/Inverse Equity,GBX,LON:DL2P
ETFS DAX Daily 2x Short GO ETF GBP,ETF,EQUITY,Google,IE00B4QNHZ41,DS2P,Trading - Leveraged/Inverse Equity,GBX,LON:DS2P
ETFS DAXglobal Gold Mining GO ETF GBP,ETF,EQUITY,Google,IE00B3CNHG25,AUCP,Sector Equity Precious Metals,GBX,LON:AUCP
ETFS FTSE 100 Leveraged Daily 2x GO ETF,ETF,EQUITY,Google,IE00B4QNJJ23,LUK2,Trading - Leveraged/Inverse Equity,GBX,LON:LUK2
ETFS FTSE 100 SuperShrtStratDly2x GO ETF,ETF,EQUITY,Google,IE00B4QNK008,SUK2,Trading - Leveraged/Inverse Equity,GBX,LON:SUK2
ETFS GBP Daily Hdg Brent Crude Oil ETC,ETF,COMMODITIES,Google,JE00B766LB87,PBRT,Commodities - Energy,GBX,LON:PBRT
ETFS GBP Daily Hdgd All Comm DJ-UBS ETC,ETF,COMMODITIES,Google,JE00B6S1W779,PALL,Commodities - Broad Basket,GBX,LON:PALL
ETFS Gold Bullion Securities ETC GBP,ETF,COMMODITIES,Google,GB00B00FHZ82,GBSS,Commodities - Precious Metals,GBX,LON:GBSS
ETFS Gold ETC GBP,ETF,COMMODITIES,Google,GB00B15KXX56,BULP,Commodities - Precious Metals,GBX,LON:BULP
ETFS Grains ETC GBP,ETF,COMMODITIES,Google,GB00B15KYL00,AGGP,Commodities - Grains,GBX,LON:AGGP
ETFS Long AUD Short GBP,ETF,FX,Google,JE00B3S7BB10,GBAU,Other,GBX,LON:GBAU
ETFS Long AUD Short USD GBP,ETF,FX,Google,JE00B68GQH02,AUDP,Other,GBX,LON:AUDP
ETFS Long CAD Short GBP,ETF,FX,Google,JE00B3X07W84,GBCA,Other,GBX,LON:GBCA
ETFS Long CAD Short USD GBP,ETF,FX,Google,JE00B68GRL13,CADP,Other,GBX,LON:CADP
ETFS Long CHF Short GBP,ETF,FX,Google,JE00B3SX3R93,GBCH,Other,GBX,LON:GBCH
ETFS Long CHF Short USD GBP,ETF,FX,Google,JE00B68GVR52,CHFP,Other,GBX,LON:CHFP
ETFS Long EUR Short GBP,ETF,FX,Google,JE00B3Y3SZ64,GBUR,Other,GBX,LON:GBUR
ETFS Long GBP Short USD GBP,ETF,FX,Google,JE00B68GR111,GBPP,Other,GBX,LON:GBPP
ETFS Long JPY Short GBP,ETF,FX,Google,JE00B3XR4V72,GBJP,Other,GBX,LON:GBJP
ETFS Long JPY Short USD GBP,ETF,FX,Google,JE00B68GSP26,JPYP,Other,GBX,LON:JPYP
ETFS Long NOK Short GBP,ETF,FX,Google,JE00B3S5RB71,GBNO,Other,GBX,LON:GBNO
ETFS Long NOK Short USD GBP,ETF,FX,Google,JE00B68GTQ08,NOKP,Other,GBX,LON:NOKP
ETFS Long NZD Short GBP,ETF,FX,Google,JE00B45W1502,GBNZ,Other,GBX,LON:GBNZ
ETFS Long NZD Short USD GBP,ETF,FX,Google,JE00B68GT711,NZDP,Other,GBX,LON:NZDP
ETFS Long USD Short GBP,ETF,FX,Google,JE00B3WPFZ34,GBUS,Other,GBX,LON:GBUS
ETFS Longer Dated All Commodities GO ETF GBP,ETF,COMMODITIES,Google,IE00B4WPHX27,CMFP,Commodities - Broad Basket,GBX,LON:CMFP
ETFS Natural Gas ETC GBP,ETF,COMMODITIES,Google,GB00B15KY104,NGSP,Commodities - Energy,GBX,LON:NGSP
ETFS Physical Gold GBP,ETF,COMMODITIES,Google,JE00B1VS3770,PHGP,Commodities - Precious Metals,GBX,LON:PHGP
ETFS Physical PM Basket ETC GBP,ETF,COMMODITIES,Google,JE00B1VS3W29,PHPP,Commodities - Precious Metals,GBX,LON:PHPP
ETFS Physical Silver ETC GBP,ETF,COMMODITIES,Google,JE00B1VS3333,PHSP,Commodities - Precious Metals,GBX,LON:PHSP
ETFS Russell 2000 US Small Cap GO ETF GBP,ETF,EQUITY,Google,IE00B3CNHJ55,RTWP,US Small-Cap Equity,GBX,LON:RTWP
ETFS Short AUD Long GBP,ETF,FX,Google,JE00B3WMCJ71,AUGB,Other,GBX,LON:AUGB
