date,open,high,low,close,volume,
2017-04-18,200,200,200,200,0,Fidelity
2017-04-19,200,200,200,200,0,Fidelity
2017-04-20,199.8,199.8,199.8,199.8,0,Fidelity
2017-04-21,200.4,200.4,200.4,200.4,0,Fidelity
2017-04-22,200.4,200.4,200.4,200.4,0,Fidelity
2017-04-23,200.4,200.4,200.4,200.4,0,Fidelity
2017-04-24,201.8,201.8,201.8,201.8,0,Fidelity
2017-04-25,202.4,202.4,202.4,202.4,0,Fidelity
2017-04-26,202.2,202.2,202.2,202.2,0,Fidelity
2017-04-27,201.6,201.6,201.6,201.6,0,Fidelity
2017-04-28,201.5,201.5,201.5,201.5,0,Fidelity
2017-04-29,201.5,201.5,201.5,201.5,0,Fidelity
2017-04-30,201.5,201.5,201.5,201.5,0,Fidelity
2017-05-01,201.5,201.5,201.5,201.5,0,Fidelity
2017-05-02,201.8,201.8,201.8,201.8,0,Fidelity
2017-05-03,202,202,202,202,0,Fidelity
2017-05-04,202.4,202.4,202.4,202.4,0,Fidelity
2017-05-05,201.8,201.8,201.8,201.8,0,Fidelity
2017-05-06,201.8,201.8,201.8,201.8,0,Fidelity
2017-05-07,201.8,201.8,201.8,201.8,0,Fidelity
2017-05-08,202.2,202.2,202.2,202.2,0,Fidelity
2017-05-09,202.4,202.4,202.4,202.4,0,Fidelity
2017-05-10,202,202,202,202,0,Fidelity
2017-05-11,202.5,202.5,202.5,202.5,0,Fidelity
2017-05-12,202.9,202.9,202.9,202.9,0,Fidelity
2017-05-13,202.9,202.9,202.9,202.9,0,Fidelity
2017-05-14,202.9,202.9,202.9,202.9,0,Fidelity
2017-05-15,203.1,203.1,203.1,203.1,0,Fidelity
2017-05-16,203.8,203.8,203.8,203.8,0,Fidelity
2017-05-17,203.5,203.5,203.5,203.5,0,Fidelity
2017-05-18,201.8,201.8,201.8,201.8,0,Fidelity
2017-05-19,202.7,202.7,202.7,202.7,0,Fidelity
2017-05-20,202.7,202.7,202.7,202.7,0,Fidelity
2017-05-21,202.7,202.7,202.7,202.7,0,Fidelity
2017-05-22,203.3,203.3,203.3,203.3,0,Fidelity
2017-05-23,204,204,204,204,0,Fidelity
2017-05-24,203.8,203.8,203.8,203.8,0,Fidelity
2017-05-25,204.2,204.2,204.2,204.2,0,Fidelity
2017-05-26,204.9,204.9,204.9,204.9,0,Fidelity
2017-05-27,204.9,204.9,204.9,204.9,0,Fidelity
2017-05-28,204.9,204.9,204.9,204.9,0,Fidelity
2017-05-29,204.9,204.9,204.9,204.9,0,Fidelity
2017-05-30,204.7,204.7,204.7,204.7,0,Fidelity
2017-05-31,205.3,205.3,205.3,205.3,0,Fidelity
2017-06-01,205.3,205.3,205.3,205.3,0,Fidelity
2017-06-02,206,206,206,206,0,Fidelity
2017-06-03,206,206,206,206,0,Fidelity
2017-06-04,206,206,206,206,0,Fidelity
2017-06-05,206,206,206,206,0,Fidelity
2017-06-06,205.8,205.8,205.8,205.8,0,Fidelity
2017-06-07,206,206,206,206,0,Fidelity
2017-06-08,205.5,205.5,205.5,205.5,0,Fidelity
2017-06-09,206.6,206.6,206.6,206.6,0,Fidelity
2017-06-10,206.6,206.6,206.6,206.6,0,Fidelity
2017-06-11,206.6,206.6,206.6,206.6,0,Fidelity
2017-06-12,206.7,206.7,206.7,206.7,0,Fidelity
2017-06-13,206.7,206.7,206.7,206.7,0,Fidelity
2017-06-14,207.3,207.3,207.3,207.3,0,Fidelity
2017-06-15,206.7,206.7,206.7,206.7,0,Fidelity
2017-06-16,206.2,206.2,206.2,206.2,0,Fidelity
2017-06-17,206.2,206.2,206.2,206.2,0,Fidelity
2017-06-18,206.2,206.2,206.2,206.2,0,Fidelity
2017-06-19,206.7,206.7,206.7,206.7,0,Fidelity
2017-06-20,207.8,207.8,207.8,207.8,0,Fidelity
2017-06-21,207.1,207.1,207.1,207.1,0,Fidelity
2017-06-22,206.7,206.7,206.7,206.7,0,Fidelity
2017-06-23,206.2,206.2,206.2,206.2,0,Fidelity
2017-06-24,206.2,206.2,206.2,206.2,0,Fidelity
2017-06-25,206.2,206.2,206.2,206.2,0,Fidelity
2017-06-26,206.9,206.9,206.9,206.9,0,Fidelity
2017-06-27,206.9,206.9,206.9,206.9,0,Fidelity
2017-06-28,205.8,205.8,205.8,205.8,0,Fidelity
2017-06-29,205.3,205.3,205.3,205.3,0,Fidelity
2017-06-30,204.7,204.7,204.7,204.7,0,Fidelity
2017-07-01,204.7,204.7,204.7,204.7,0,Fidelity
2017-07-02,204.7,204.7,204.7,204.7,0,Fidelity
2017-07-03,204.4,204.4,204.4,204.4,0,Fidelity
2017-07-04,204.2,204.2,204.2,204.2,0,Fidelity
2017-07-05,204.6,204.6,204.6,204.6,0,Fidelity
2017-07-06,203.7,203.7,203.7,203.7,0,Fidelity
2017-07-07,203.8,203.8,203.8,203.8,0,Fidelity
2017-07-08,203.8,203.8,203.8,203.8,0,Fidelity
2017-07-09,203.8,203.8,203.8,203.8,0,Fidelity
2017-07-10,204.2,204.2,204.2,204.2,0,Fidelity
2017-07-11,204,204,204,204,0,Fidelity
2017-07-12,204.9,204.9,204.9,204.9,0,Fidelity
2017-07-13,205.5,205.5,205.5,205.5,0,Fidelity
2017-07-14,205.3,205.3,205.3,205.3,0,Fidelity
2017-07-15,205.3,205.3,205.3,205.3,0,Fidelity
2017-07-16,205.3,205.3,205.3,205.3,0,Fidelity
2017-07-17,205.5,205.5,205.5,205.5,0,Fidelity
2017-07-18,205.7,205.7,205.7,205.7,0,Fidelity
2017-07-19,205.7,205.7,205.7,205.7,0,Fidelity
2017-07-20,207.1,207.1,207.1,207.1,0,Fidelity
2017-07-21,207.1,207.1,207.1,207.1,0,Fidelity
2017-07-22,207.1,207.1,207.1,207.1,0,Fidelity
2017-07-23,207.1,207.1,207.1,207.1,0,Fidelity
2017-07-24,206.4,206.4,206.4,206.4,0,Fidelity
2017-07-25,206.6,206.6,206.6,206.6,0,Fidelity
2017-07-26,206.6,206.6,206.6,206.6,0,Fidelity
2017-07-27,206.4,206.4,206.4,206.4,0,Fidelity
2017-07-28,206.2,206.2,206.2,206.2,0,Fidelity
2017-07-29,206.2,206.2,206.2,206.2,0,Fidelity
2017-07-30,206.2,206.2,206.2,206.2,0,Fidelity
2017-07-31,206.2,206.2,206.2,206.2,0,Fidelity
2017-08-01,206.2,206.2,206.2,206.2,0,Fidelity
2017-08-02,206.2,206.2,206.2,206.2,0,Fidelity
2017-08-03,206,206,206,206,0,Fidelity
2017-08-04,207.3,207.3,207.3,207.3,0,Fidelity
2017-08-05,207.3,207.3,207.3,207.3,0,Fidelity
2017-08-06,207.3,207.3,207.3,207.3,0,Fidelity
2017-08-07,207.7,207.7,207.7,207.7,0,Fidelity
2017-08-08,208.2,208.2,208.2,208.2,0,Fidelity
2017-08-09,207.7,207.7,207.7,207.7,0,Fidelity
2017-08-10,207.1,207.1,207.1,207.1,0,Fidelity
2017-08-11,206.2,206.2,206.2,206.2,0,Fidelity
2017-08-12,206.2,206.2,206.2,206.2,0,Fidelity
2017-08-13,206.2,206.2,206.2,206.2,0,Fidelity
2017-08-14,206.7,206.7,206.7,206.7,0,Fidelity
2017-08-15,207.8,207.8,207.8,207.8,0,Fidelity
2017-08-16,208,208,208,208,0,Fidelity
2017-08-17,208.2,208.2,208.2,208.2,0,Fidelity
2017-08-18,207.3,207.3,207.3,207.3,0,Fidelity
