date,open,high,low,close,volume,
2014-01-20,7433.00,7456.00,7424.00,7450.50,10221.00,
2014-01-21,7403.00,7435.10,7311.00,7336.00,10206.00,
2014-01-22,7334.00,7347.00,7283.00,7290.50,14096.00,
2014-01-23,7265.00,7415.00,7257.29,7390.00,8824.00,
2014-01-24,7388.00,7499.00,7362.50,7479.50,81415.00,
2014-01-27,7465.00,7493.96,7393.00,7400.00,8765.00,
2014-01-28,7356.00,7389.52,7339.07,7360.00,9907.00,
2014-01-29,7359.00,7475.16,7341.61,7440.50,14878.00,
2014-01-30,7424.00,7437.00,7306.77,7331.50,85118.00,
2014-01-31,7365.00,7425.92,7323.01,7342.00,24227.00,
2014-02-03,7374.00,7551.70,7371.00,7540.50,22620.00,
2014-02-04,7495.00,7541.60,7457.25,7477.00,9182.00,
2014-02-05,7497.00,7612.00,7495.32,7513.50,11947.00,
2014-02-06,7535.00,7546.83,7467.08,7494.50,8124.00,
2014-02-07,7514.00,7575.00,7472.08,7498.00,7895.00,
2014-02-10,7550.00,7586.47,7549.37,7567.50,5627.00,
2014-02-11,7622.00,7629.30,7567.31,7620.50,14636.00,
2014-02-12,7606.00,7628.53,7570.00,7589.50,11287.00,
2014-02-13,7537.00,7600.47,7535.08,7599.50,13298.00,
2014-02-14,7624.00,7692.76,7612.00,7671.50,24941.00,
2014-02-17,7695.00,7742.30,7675.63,7742.50,16328.00,
2014-02-18,7700.00,7715.18,7654.08,7708.00,13727.00,
2014-02-19,7681.00,7718.87,7671.30,7686.00,6495.00,
2014-02-20,7691.00,7697.28,7650.26,7682.50,15176.00,
2014-02-21,7719.00,7734.75,7703.08,7719.00,9955.00,
2014-02-24,7780.00,7842.10,7767.00,7828.50,11176.00,
2014-02-25,7811.00,7830.00,7764.00,7822.50,12527.00,
2014-02-26,7832.00,7850.92,7747.00,7761.50,10319.00,
2014-02-27,7757.00,7805.00,7743.00,7778.50,15832.00,
2014-02-28,7737.00,7761.98,7687.00,7698.50,14352.00,
2014-03-03,7860.00,7893.00,7809.00,7878.00,35300.00,
2014-03-04,7816.00,7826.00,7767.08,7817.00,13946.00,
2014-03-05,7792.00,7808.00,7769.00,7798.00,17588.00,
2014-03-06,7764.00,7851.92,7749.00,7845.00,46343.00,
2014-03-07,7830.00,7861.88,7748.91,7791.50,8087.00,
2014-03-10,7780.00,7867.54,7756.00,7852.50,54123.00,
2014-03-11,7874.00,7932.00,7835.56,7863.00,14082.00,
2014-03-12,7947.00,8016.04,7934.00,8017.00,26862.00,
2014-03-13,8018.00,8036.00,7954.08,8018.00,20324.00,
2014-03-14,8022.00,8143.00,8022.00,8065.50,26096.00,
2014-03-17,8082.00,8101.00,8009.08,8019.00,124742.00,
2014-03-18,7972.00,7995.00,7926.78,7992.00,16103.00,
2014-03-19,7930.00,7942.00,7836.00,7848.00,31266.00,
2014-03-20,7831.00,7854.00,7787.08,7845.50,22536.00,
2014-03-21,7874.00,7915.00,7852.15,7882.50,17678.00,
2014-03-24,7800.00,7831.23,7729.04,7736.50,27607.00,
2014-03-25,7758.00,7772.00,7702.08,7731.00,26401.00,
2014-03-26,7739.00,7746.00,7644.05,7653.50,30149.00,
2014-03-27,7635.00,7643.92,7563.00,7583.50,22527.00,
2014-03-28,7588.00,7603.74,7529.00,7566.00,223946.00,
2014-03-31,7562.00,7583.92,7510.01,7516.50,20725.00,
2014-04-01,7496.00,7531.00,7483.00,7490.50,24428.00,
2014-04-02,7513.00,7569.53,7445.00,7569.50,20003.00,
2014-04-03,7551.00,7559.62,7518.00,7556.50,14115.00,
2014-04-04,7568.00,7661.00,7548.89,7655.50,14678.00,
2014-04-07,7632.00,7645.00,7595.00,7595.00,20891.00,
2014-04-08,7648.00,7660.92,7601.00,7610.00,18147.00,
2014-04-09,7599.00,7628.26,7554.00,7577.50,12637.00,
2014-04-10,7665.00,7686.00,7640.47,7661.50,10177.00,
2014-04-11,7632.00,7698.00,7632.00,7675.00,13315.00,
2014-04-14,7727.00,7744.00,7694.08,7723.50,15619.00,
2014-04-15,7672.00,7672.00,7486.51,7582.00,36490.00,
2014-04-16,7548.00,7573.00,7520.40,7542.00,18077.00,
2014-04-17,7498.00,7545.00,7498.00,7521.50,11326.00,
2014-04-22,7466.00,7481.80,7408.25,7412.50,26809.00,
2014-04-23,7430.00,7462.00,7427.94,7453.00,16679.00,
2014-04-24,7447.00,7524.00,7329.45,7469.50,25324.00,
2014-04-25,7470.00,7553.00,7470.00,7537.00,8166.00,
2014-04-28,7500.00,7539.52,7483.08,7491.00,10733.00,
2014-04-29,7453.00,7524.00,7449.00,7506.50,8553.00,
2014-04-30,7476.00,7488.40,7425.00,7446.50,10935.00,
2014-05-01,7403.00,7418.00,7368.00,7388.00,11995.00,
2014-05-02,7392.00,7521.35,7383.00,7504.50,6937.00,
2014-05-06,7549.00,7556.00,7471.00,7491.00,24206.00,
2014-05-07,7520.00,7534.00,7427.00,7441.50,239365.00,
2014-05-08,7401.00,7429.00,7379.00,7396.00,37978.00,
2014-05-09,7410.00,7459.77,7406.00,7429.50,8296.00,
2014-05-12,7446.00,7511.00,7428.00,7485.50,15751.00,
2014-05-13,7447.00,7490.75,7446.00,7483.50,12689.00,
2014-05-14,7474.00,7588.47,7470.50,7561.50,15606.00,
2014-05-15,7571.00,7587.00,7508.30,7528.50,15651.00,
2014-05-16,7504.00,7504.44,7460.00,7482.00,12875.00,
2014-05-19,7509.00,7543.00,7495.93,7509.50,10839.00,
2014-05-20,7466.00,7488.75,7438.00,7472.50,10893.00,
2014-05-21,7474.00,7474.00,7417.00,7437.50,31031.00,
2014-05-22,7459.00,7604.20,7439.46,7471.00,219713.00,
2014-05-23,7468.00,7475.23,7441.64,7466.00,10058.00,
2014-05-27,7395.00,7435.99,7299.45,7345.00,19812.00,
2014-05-28,7325.00,7360.00,7318.73,7320.00,12252.00,
2014-05-29,7285.00,7329.00,7231.40,7320.00,22900.00,
2014-05-30,7290.00,7307.75,7216.00,7224.00,13727.00,
2014-06-02,7224.00,7247.00,7222.30,7230.50,14680.00,
2014-06-03,7228.00,7243.30,7211.60,7232.00,22787.00,
2014-06-04,7250.00,7259.67,7221.77,7226.00,22908.00,
2014-06-05,7219.00,7280.00,7208.00,7263.00,13379.00,
2014-06-06,7264.00,7272.50,7224.00,7254.50,14851.00,
2014-06-09,7262.00,7275.00,7252.56,7261.00,11412.00,
2014-06-10,7270.00,7324.03,7252.25,7320.00,17667.00,
2014-06-11,7316.00,7328.00,7308.00,7312.50,7288.00,
2014-06-12,7284.00,7351.75,7283.86,7341.50,11918.00,
2014-06-13,7290.00,7310.85,7289.30,7305.00,13698.00,
2014-06-16,7343.00,7359.78,7290.00,7302.00,13367.00,
2014-06-17,7242.00,7282.85,7225.00,7282.00,8575.00,
2014-06-18,7268.00,7311.00,7255.00,7297.00,11743.00,
2014-06-19,7329.00,7412.00,7314.00,7408.00,11015.00,
2014-06-20,7480.00,7538.79,7450.00,7515.00,19283.00,
2014-06-23,7513.00,7530.00,7486.00,7520.00,9765.00,
2014-06-24,7505.00,7590.00,7505.00,7556.00,15677.00,
2014-06-25,7545.00,7556.00,7518.00,7558.00,9852.00,
2014-06-26,7532.00,7542.00,7468.00,7520.50,17252.00,
2014-06-27,7521.00,7547.00,7501.00,7542.00,11640.00,
2014-06-30,7510.00,7519.18,7476.00,7492.00,12456.00,
2014-07-01,7529.00,7550.00,7516.93,7521.50,10461.00,
2014-07-02,7513.00,7540.00,7498.00,7526.50,11798.00,
2014-07-03,7495.00,7503.85,7450.00,7475.50,19251.00,
2014-07-04,7495.00,7510.80,7478.00,7485.50,7434.00,
2014-07-07,7447.00,7478.00,7444.65,7460.00,23129.00,
2014-07-08,7485.00,7518.54,7459.99,7468.50,12938.00,
2014-07-09,7519.00,7539.89,7508.15,7519.00,7610.00,
2014-07-10,7543.00,7639.00,7540.15,7595.50,32122.00,
2014-07-11,7589.00,7606.00,7573.67,7592.00,28547.00,
2014-07-14,7484.00,7517.65,7424.12,7446.50,23225.00,
2014-07-15,7453.00,7463.00,7337.85,7352.50,11743.00,
