Date,Open,High,Low,Close,Volume
2016-08-01,172.69,172.69,172.69,172.69,0
2016-07-29,172.35,172.35,172.35,172.35,0
2016-07-28,169.84,169.84,169.84,169.84,0
2016-07-27,171.49,171.49,171.49,171.49,0
2016-07-26,170.87,170.87,170.87,170.87,0
2016-07-25,170.83,170.83,170.83,170.83,0
2016-07-19,172.93,172.93,172.93,172.93,0
2016-07-18,172.34,172.34,172.34,172.34,0
2016-07-15,172.15,172.15,172.15,172.15,0
2016-07-14,174.4,174.4,174.4,174.4,0
2016-07-13,175.41,175.41,175.41,175.41,0
2016-07-12,173.77,173.77,173.77,173.77,0
2016-07-11,175.64,175.64,175.64,175.64,0
2016-07-08,176.79,176.79,176.79,176.79,0
2016-07-07,176.44,176.44,176.44,176.44,0
2016-07-06,176.18,176.18,176.18,176.18,0
2016-07-05,174.73,174.73,174.73,174.73,0
2016-07-04,173.39,173.39,173.39,173.39,0
2016-07-01,172.59,172.59,172.59,172.59,0
2016-06-30,172.33,172.33,172.33,172.33,0
2016-06-29,171.94,171.94,171.94,171.94,0
2016-06-28,170.99,170.99,170.99,170.99,0
2016-06-27,169.57,169.57,169.57,169.57,0
2016-06-24,166.28,166.28,166.28,166.28,0
2016-06-23,158.76,158.76,158.76,158.76,0
2016-06-22,158.65,158.65,158.65,158.65,0
2016-06-21,159.19,159.19,159.19,159.19,0
2016-06-20,159.97,159.97,159.97,159.97,0
2016-06-17,162.06,162.06,162.06,162.06,0
2016-06-16,163.49,163.49,163.49,163.49,0
2016-06-15,162.09,162.09,162.09,162.09,0
2016-06-14,160.55,160.55,160.55,160.55,0
2016-06-13,158.21,158.21,158.21,158.21,0
2016-06-09,157.79,157.79,157.79,157.79,0
2016-06-08,158.23,158.23,158.23,158.23,0
2016-06-07,157.37,157.37,157.37,157.37,0
2016-06-06,157.74,157.74,157.74,157.74,0
2016-06-03,157.49,157.49,157.49,157.49,0
2016-06-02,15615,15615,15615,15615,0
2016-06-01,156.18,156.18,156.18,156.18,0
2016-05-31,155.63,155.63,155.63,155.63,0
2016-05-27,155.65,155.65,155.65,155.65,0
2016-05-26,156.52,156.52,156.52,156.52,0
2016-05-25,155.89,155.89,155.89,155.89,0
2016-05-24,154.4,154.4,154.4,154.4,0
2016-05-23,154.37,154.37,154.37,154.37,0
2016-05-20,153.95,153.95,153.95,153.95,0
2016-05-19,154.03,154.03,154.03,154.03,0
2016-05-18,154.33,154.33,154.33,154.33,0
2016-05-17,154.82,154.82,154.82,154.82,0
2016-05-16,154.33,154.33,154.33,154.33,0
2016-05-13,154.61,154.61,154.61,154.61,0
2016-05-12,154.06,154.06,154.06,154.06,0
2016-05-11,154.41,154.41,154.41,154.41,0
2016-05-10,154.17,154.17,154.17,154.17,0
2016-05-09,153.94,153.94,153.94,153.94,0
2016-05-06,154.78,154.78,154.78,154.78,0
2016-05-05,153.74,153.74,153.74,153.74,0
2016-05-04,153.21,153.21,153.21,153.21,0
2016-05-03,154.16,154.16,154.16,154.16,0
2016-04-29,152.8,152.8,152.8,152.8,0
2016-04-28,151.9,151.9,151.9,151.9,0
2016-04-27,151.51,151.51,151.51,151.51,0
2016-04-26,151.06,151.06,151.06,151.06,0
2016-04-25,152.85,152.85,152.85,152.85,0
2016-04-22,153.01,153.01,153.01,153.01,0
2016-04-21,153.2,153.2,153.2,153.2,0
