Name,AssetType,Underlying,Source,isin,code,Exchange,category, currency,googleCode,
db x-trackers S&P 500 2x Inverse Dly 1C GBP,ETF,EQUITY,Google,LU0411078636,XT2D,London,Trading - Leveraged/Inverse Equity,USD,LON:XT2D,
db x-trackers S&P 500 Inverse Daily 1C GBP,ETF,EQUITY,Google,LU0322251520,XSPS,London,Trading - Leveraged/Inverse Equity,USD,LON:XSPS,
db x-trackers S&P Global Infras 1C GBP,ETF,EQUITY,Google,LU0322253229,XSGI,London,Sector Equity Infrastructure,USD,LON:XSGI,
db x-trackers S&P Select Frontier 1C GBP,ETF,EQUITY,Google,LU0328476410,XSFR,London,Global Frontier Markets Equity,USD,LON:XSFR,
db x-trackers S&P/ASX 200 (DR) 1D GBP,ETF,EQUITY,Google,LU0328474803,XAUS,London,Australia & New Zealand Equity,GBX,LON:XAUS,
db x-trackers ShortDAX Daily 1C GBP,ETF,EQUITY,Google,LU0292106241,XSDX,London,Trading - Leveraged/Inverse Equity,GBX,LON:XSDX,
db x-trackers Stoxx Eurp600 (DR) 1C GBP,ETF,EQUITY,Google,LU0328475792,XSX6,London,Europe Large-Cap Blend Equity,GBX,LON:XSX6,
db x-trackers Stoxx Eurp600 Banks 1C GBP,ETF,EQUITY,Google,LU0292103651,XS7R,London,Sector Equity Financial Services,GBX,LON:XS7R,
db x-trackers Stoxx Eurp600 Bas Res 1C GBP,ETF,EQUITY,Google,LU0292100806,XSPR,London,Sector Equity Industrial Materials,GBX,LON:XSPR,
db x-trackers Stoxx Eurp600 Food&Bev 1C GBP,ETF,EQUITY,Google,LU0292105359,XS3R,London,Sector Equity Consumer Goods & Services,GBX,LON:XS3R,
db x-trackers Stoxx Eurp600 HC 1C GBP,ETF,EQUITY,Google,LU0292103222,XSDR,London,Sector Equity Healthcare,GBX,LON:XSDR,
db x-trackers Stoxx Eurp600 IndlGds 1C GBP,ETF,EQUITY,Google,LU0292106084,XSNR,London,Sector Equity Industrial Materials,GBX,LON:XSNR,
db x-trackers Stoxx Eurp600 Oil&Gas 1C GBP,ETF,EQUITY,Google,LU0292101796,XSER,London,Sector Equity Energy,GBX,LON:XSER,
db x-trackers Stoxx Eurp600 Tech 1C GBP,ETF,EQUITY,Google,LU0292104469,XS8R,London,Sector Equity Technology,GBX,LON:XS8R,
db x-trackers Stoxx Eurp600 Telecom 1C GBP,ETF,EQUITY,Google,LU0292104030,XSKR,London,Sector Equity Communications,GBX,LON:XSKR,
db x-trackers Stoxx Eurp600 Utilities 1C GBP,ETF,EQUITY,Google,LU0292104899,XS6R,London,Sector Equity Utilities,GBX,LON:XS6R,
db x-trackers Stoxx Glbl Sel Div 100 1D GBP,ETF,EQUITY,Google,LU0292096186,XGSD,London,Global Equity Income,USD,LON:XGSD,
ETFS 3x Short EUR Long GBP,ETF,FX,Google,JE00B3W0MY68,SUP3,London,Other,GBX,LON:SUP3,
ETFS 3x Short JPY Long GBP,ETF,FX,Google,JE00B3TG7R50,SYP3,London,Other,GBX,LON:SYP3,
ETFS Agriculture ETC GBP,ETF,COMMODITIES,Google,GB00B15KYH63,AGAP,London,Commodities - Broad Agriculture,GBX,LON:AGAP,
ETFS All Commodities ETC GBP,ETF,COMMODITIES,Google,GB00B15KY989,AGCP,London,Commodities - Broad Basket,GBX,LON:AGCP,
ETFS Brent Oil 1 month ETC GBP,ETF,COMMODITIES,Google,GB00B0CTWC01,OLBP,London,Commodities - Energy,GBX,LON:OLBP,
ETFS Carbon ETC GBP,ETF,COMMODITIES,Google,JE00B3CG6315,CARP,London,Commodities - Other,GBX,LON:CARP,
ETFS Crude Oil ETC,ETF,COMMODITIES,Google,GB00B15KXV33,CRUD,London,Commodities - Energy,USD,LON:CRUD,
ETFS DAX Daily 2x Long GO ETF GBP,ETF,EQUITY,Google,IE00B4QNHH68,DL2P,London,Trading - Leveraged/Inverse Equity,GBX,LON:DL2P,
ETFS DAX Daily 2x Short GO ETF GBP,ETF,EQUITY,Google,IE00B4QNHZ41,DS2P,London,Trading - Leveraged/Inverse Equity,GBX,LON:DS2P,
ETFS DAXglobal Gold Mining GO ETF GBP,ETF,EQUITY,Google,IE00B3CNHG25,AUCP,London,Sector Equity Precious Metals,GBX,LON:AUCP,
ETFS FTSE 100 Leveraged Daily 2x GO ETF,ETF,EQUITY,Google,IE00B4QNJJ23,LUK2,London,Trading - Leveraged/Inverse Equity,GBX,LON:LUK2,
ETFS FTSE 100 SuperShrtStratDly2x GO ETF,ETF,EQUITY,Google,IE00B4QNK008,SUK2,London,Trading - Leveraged/Inverse Equity,GBX,LON:SUK2,
ETFS GBP Daily Hdg Brent Crude Oil ETC,ETF,COMMODITIES,Google,JE00B766LB87,PBRT,London,Commodities - Energy,GBX,LON:PBRT,
ETFS GBP Daily Hdgd All Comm DJ-UBS ETC,ETF,COMMODITIES,Google,JE00B6S1W779,PALL,London,Commodities - Broad Basket,GBX,LON:PALL,
ETFS Gold Bullion Securities ETC GBP,ETF,COMMODITIES,Google,GB00B00FHZ82,GBSS,London,Commodities - Precious Metals,GBX,LON:GBSS,
ETFS Gold ETC GBP,ETF,COMMODITIES,Google,GB00B15KXX56,BULP,London,Commodities - Precious Metals,GBX,LON:BULP,
ETFS Grains ETC GBP,ETF,COMMODITIES,Google,GB00B15KYL00,AGGP,London,Commodities - Grains,GBX,LON:AGGP,
ETFS Long AUD Short GBP,ETF,FX,Google,JE00B3S7BB10,GBAU,London,Other,GBX,LON:GBAU,
ETFS Long AUD Short USD GBP,ETF,FX,Google,JE00B68GQH02,AUDP,London,Other,GBX,LON:AUDP,
ETFS Long CAD Short GBP,ETF,FX,Google,JE00B3X07W84,GBCA,London,Other,GBX,LON:GBCA,
ETFS Long CAD Short USD GBP,ETF,FX,Google,JE00B68GRL13,CADP,London,Other,GBX,LON:CADP,
ETFS Long CHF Short GBP,ETF,FX,Google,JE00B3SX3R93,GBCH,London,Other,GBX,LON:GBCH,
ETFS Long CHF Short USD GBP,ETF,FX,Google,JE00B68GVR52,CHFP,London,Other,GBX,LON:CHFP,
ETFS Long EUR Short GBP,ETF,FX,Google,JE00B3Y3SZ64,GBUR,London,Other,GBX,LON:GBUR,
ETFS Long GBP Short USD GBP,ETF,FX,Google,JE00B68GR111,GBPP,London,Other,GBX,LON:GBPP,
ETFS Long JPY Short GBP,ETF,FX,Google,JE00B3XR4V72,GBJP,London,Other,GBX,LON:GBJP,
ETFS Long JPY Short USD GBP,ETF,FX,Google,JE00B68GSP26,JPYP,London,Other,GBX,LON:JPYP,
ETFS Long NOK Short GBP,ETF,FX,Google,JE00B3S5RB71,GBNO,London,Other,GBX,LON:GBNO,
ETFS Long NOK Short USD GBP,ETF,FX,Google,JE00B68GTQ08,NOKP,London,Other,GBX,LON:NOKP,
ETFS Long NZD Short GBP,ETF,FX,Google,JE00B45W1502,GBNZ,London,Other,GBX,LON:GBNZ,
ETFS Long NZD Short USD GBP,ETF,FX,Google,JE00B68GT711,NZDP,London,Other,GBX,LON:NZDP,
ETFS Long USD Short GBP,ETF,FX,Google,JE00B3WPFZ34,GBUS,London,Other,GBX,LON:GBUS,
ETFS Longer Dated All Commodities GO ETF GBP,ETF,COMMODITIES,Google,IE00B4WPHX27,CMFP,London,Commodities - Broad Basket,GBX,LON:CMFP,
ETFS Natural Gas ETC GBP,ETF,COMMODITIES,Google,GB00B15KY104,NGSP,London,Commodities - Energy,GBX,LON:NGSP,
ETFS Physical Gold GBP,ETF,COMMODITIES,Google,JE00B1VS3770,PHGP,London,Commodities - Precious Metals,GBX,LON:PHGP,
ETFS Physical PM Basket ETC GBP,ETF,COMMODITIES,Google,JE00B1VS3W29,PHPP,London,Commodities - Precious Metals,GBX,LON:PHPP,
ETFS Physical Silver ETC GBP,ETF,COMMODITIES,Google,JE00B1VS3333,PHSP,London,Commodities - Precious Metals,GBX,LON:PHSP,
ETFS Russell 2000 US Small Cap GO ETF GBP,ETF,EQUITY,Google,IE00B3CNHJ55,RTWP,London,US Small-Cap Equity,GBX,LON:RTWP,
ETFS Short AUD Long GBP,ETF,FX,Google,JE00B3WMCJ71,AUGB,London,Other,GBX,LON:AUGB,
ETFS Short AUD Long USD GBP,ETF,FX,Google,JE00B68GQZ83,SAUP,London,Other,GBX,LON:SAUP,
ETFS Short CAD Long GBP,ETF,FX,Google,JE00B3XY7H57,CAGB,London,Other,GBX,LON:CAGB,
ETFS Short CAD Long USD GBP,ETF,FX,Google,JE00B68GS291,SCDP,London,Other,GBX,LON:SCDP,
ETFS Short CHF Long GBP,ETF,FX,Google,JE00B3NKMM36,CHGB,London,Other,GBX,LON:CHGB,
ETFS Short CHF Long USD GBP,ETF,FX,Google,JE00B68GVT76,SCHP,London,Other,GBX,LON:SCHP,
ETFS Short EUR Long GBP,ETF,FX,Google,JE00B45CYD99,URGB,London,Other,GBX,LON:URGB,
ETFS Short EUR Long USD GBP,ETF,FX,Google,JE00B68GSM94,SEUP,London,Other,GBX,LON:SEUP,
ETFS Short GBP Long USD GBP,ETF,FX,Google,JE00B68GRJ90,USD2,London,Other,GBX,LON:USD2,
ETFS Short JPY Long GBP,ETF,FX,Google,JE00B3QBQJ84,JPGB,London,Other,GBX,LON:JPGB,
ETFS Short JPY Long USD GBP,ETF,FX,Google,JE00B68GT596,SJPP,London,Other,GBX,LON:SJPP,
ETFS Short NZD Long GBP,ETF,FX,Google,JE00B3YHSG97,NZGB,London,Other,GBX,LON:NZGB,
ETFS Short SEK Long GBP,ETF,FX,Google,JE00B3TK4N26,SKGB,London,Other,GBX,LON:SKGB,
ETFS Short SEK Long USD GBP,ETF,FX,Google,JE00B68GV865,SSEP,London,Other,GBX,LON:SSEP,
ETFS Short USD Long GBP,ETF,FX,Google,JE00B438PT24,USGB,London,Other,GBX,LON:USGB,
ETFS Silver ETC,ETF,COMMODITIES,Google,GB00B15KY328,SLVR,London,Commodities - Precious Metals,USD,LON:SLVR,
ETFS US Energy Infrastructure MLP GO ETF GBP,ETF,EQUITY,Google,IE00BHZKHS06,MLPX,London,Sector Equity Energy,GBX,LON:MLPX,
ETFS WTI 2mth ETC GBP,ETF,COMMODITIES,Google,GB00B0CTWK84,OLWP,London,Commodities - Energy,GBX,LON:OLWP,
First Trust UK AlphaDEX?A GBP,ETF,EQUITY,Google,IE00B8X9NZ57,FKU,London,UK Large-Cap Blend Equity,GBX,LON:FKU,
First Trust US Lg Cp Cor AlphaDEX?A USD GBP,ETF,EQUITY,Google,IE00B8X9NW27,FEX,London,US Large-Cap Blend Equity,USD,LON:FEX,
FT Emerging Markets AlphaDEX?ETF A USD GBP,ETF,EQUITY,Google,IE00B8X9NX34,FEM,London,Global Emerging Markets Equity,USD,LON:FEM,
HSBC EURO STOXX 50 ETF GBP,ETF,EQUITY,Google,IE00B4K6B022,H50E,London,Eurozone Large-Cap Equity,GBX,LON:H50E,
HSBC FTSE 100 ETF,ETF,EQUITY,Google,IE00B42TW061,HUKX,London,UK Large-Cap Blend Equity,GBX,LON:HUKX,
HSBC FTSE 250 ETF,ETF,EQUITY,Google,IE00B64PTF05,HMCX,London,UK Mid-Cap Equity,GBX,LON:HMCX,
HSBC FTSE EPRA/NAREIT Developed ETF GBP,ETF,PROPERTY,Google,IE00B5L01S80,HPRO,London,Property - Indirect Global,USD,LON:HPRO,
HSBC MSCI AC FAR EAST ex JAPAN ETF GBP,ETF,EQUITY,Google,IE00BBQ2W338,HMAF,London,Asia ex Japan Equity,USD,LON:HMAF,
HSBC MSCI Brazil ETF GBP,ETF,EQUITY,Google,IE00B5W34K94,HBRL,London,Brazil Equity,GBX,LON:HBRL,
HSBC MSCI Canada ETF GBP,ETF,EQUITY,Google,IE00B51B7Z02,HCAN,London,Canada Equity,USD,LON:HCAN,
HSBC MSCI China ETF GBP,ETF,EQUITY,Google,IE00B44T3H88,HMCH,London,China Equity,USD,LON:HMCH,
HSBC MSCI EM Far East ETF GBP,ETF,EQUITY,Google,IE00B5LP3W10,HMFE,London,Asia ex Japan Equity,USD,LON:HMFE,
HSBC MSCI EM LA ETF GBP,ETF,EQUITY,Google,IE00B4TS3815,HMLA,London,Latin America Equity,USD,LON:HMLA,
HSBC MSCI Emerg Mkts ETF GBP,ETF,EQUITY,Google,IE00B5SSQT16,HMEF,London,Global Emerging Markets Equity,USD,LON:HMEF,
HSBC MSCI Europe ETF GBP,ETF,EQUITY,Google,IE00B5BD5K76,HMEU,London,Europe Large-Cap Blend Equity,GBX,LON:HMEU,
HSBC MSCI Indonesia ETF GBP,ETF,EQUITY,Google,IE00B46G8275,HIDR,London,Indonesia Equity,USD,LON:HIDR,
HSBC MSCI JAPAN ETF GBP,ETF,EQUITY,Google,IE00B5VX7566,HMJP,London,Japan Large-Cap Equity,USD,LON:HMJP,
HSBC MSCI Korea ETF GBP,ETF,EQUITY,Google,IE00B3Z0X395,HKOR,London,Korea Equity,USD,LON:HKOR,
HSBC MSCI Malaysia ETF GBP,ETF,EQUITY,Google,IE00B3X3R831,HMYR,London,Other Asia-Pacific Equity,USD,LON:HMYR,
HSBC MSCI Mexico Capped ETF GBP,ETF,EQUITY,Google,IE00B3QMYK80,HMEX,London,Other Americas Equity,USD,LON:HMEX,
HSBC MSCI Pacific ex Japan ETF GBP,ETF,EQUITY,Google,IE00B5SG8Z57,HMXJ,London,Asia-Pacific ex-Japan Equity,USD,LON:HMXJ,
HSBC MSCI Russia Capped ETF GBP,ETF,EQUITY,Google,IE00B5LJZQ16,HRUB,London,Russia Equity,USD,LON:HRUB,
HSBC MSCI Turkey ETF GBP,ETF,EQUITY,Google,IE00B5BRQB73,HTRY,London,Turkey Equity,USD,LON:HTRY,
HSBC MSCI USA ETF GBP,ETF,EQUITY,Google,IE00B5WFQ436,HMUS,London,US Large-Cap Blend Equity,USD,LON:HMUS,
HSBC MSCI World ETF GBP,ETF,EQUITY,Google,IE00B4X9L533,HMWO,London,Global Large-Cap Blend Equity,USD,LON:HMWO,
HSBC S&P 500 ETF GBP,ETF,EQUITY,Google,IE00B5KQNG97,HSPX,London,US Large-Cap Blend Equity,USD,LON:HSPX,
iShares $ High Yld Corp Bd USD Dist JDR GBP,ETF,BOND,Google,IE00B4PY7Y77,SHYU,London,USD High Yield Bond,GBP,LON:SHYU,
iShares $ TIPS GBP,ETF,BOND,Google,IE00B1FZSC47,ITPS,London,USD Inflation-Linked Bond,USD,LON:ITPS,
iShares $ Treasury Bond 1-3yr GBP,ETF,BOND,Google,IE00B14X4S71,IBTS,London,USD Government Bond,USD,LON:IBTS,
iShares $ Treasury Bond 3-7yr USD Acc GBP,ETF,BOND,Google,IE00B3VWN393,CU71,London,USD Government Bond,GBX,LON:CU71,
iShares $ Treasury Bond 7-10yr GBP,ETF,BOND,Google,IE00B1FZS798,IBTM,London,USD Government Bond,USD,LON:IBTM,
iShares $ Treasury Bond 7-10yr USD Acc GBP,ETF,BOND,Google,IE00B3VWN518,CU01,London,USD Government Bond,GBX,LON:CU01,
iShares àCorp Bond 0-5yr GBP Dist,ETF,BOND,Google,IE00B5L65R35,IS15,London,GBP Corporate Bond,EUR,LON:IS15,
iShares àCorp Bond ex-Fincls GBP Dist,ETF,BOND,Google,IE00B4L60H17,ISXF,London,GBP Corporate Bond,EUR,LON:ISXF,
iShares àIndex-Linked Gilts GBP Dist,ETF,BOND,Google,IE00B1FZSD53,INXG,London,GBP Inflation-Linked Bond,GBP,LON:INXG,
iShares àUltrashort Bond GBP Dist,ETF,BOND,Google,IE00BCRY6441,ERNS,London,GBP Diversified Bond - Short Term,GBP,LON:ERNS,
iShares  Aggregate Bond EUR Dist GBP,ETF,BOND,Google,IE00B3DKXQ41,SEAG,London,EUR Diversified Bond,GBP,LON:SEAG,
iShares  Corp Bd ex-Fincls 1-5yr  Dist GBP,ETF,BOND,Google,IE00B4L5ZY03,EEX5,London,EUR Corporate Bond - Short Term,GBP,LON:EEX5,
iShares  Corp Bond 1-5yr EUR Dist GBP,ETF,BOND,Google,IE00B4L60045,SE15,London,EUR Corporate Bond - Short Term,GBP,LON:SE15,
iShares  Corp Bond ex-Fincls EUR Dist GBP,ETF,BOND,Google,IE00B4L5ZG21,EEXF,London,EUR Corporate Bond,GBP,LON:EEXF,
iShares  Covered Bond EUR Dist GBP,ETF,BOND,Google,IE00B3B8Q275,SCOV,London,EUR Corporate Bond,GBP,LON:SCOV,
iShares  Govt Bond 10-15yr EUR Dist GBP,ETF,BOND,Google,IE00B4WXJH41,IBGZ,London,EUR Bond - Long Term,GBP,LON:IBGZ,
iShares  Govt Bond 5-7yr EUR Dist GBP,ETF,BOND,Google,IE00B4WXJG34,IBGY,London,EUR Government Bond,GBP,LON:IBGY,
iShares  High Yield Corp Bond EUR Dist GBP,ETF,BOND,Google,IE00B66F4759,SHYG,London,EUR High Yield Bond,GBP,LON:SHYG,
iShares  Inflation Lnkd Govt Bd EUR Acc GBP,ETF,BOND,Google,IE00B0M62X26,IBCI,London,EUR Inflation-Linked Bond,EUR,LON:IBCI,
iShares AEX EUR Dist GBP,ETF,EQUITY,Google,IE00B0M62Y33,IAEX,London,Netherlands Equity,GBX,LON:IAEX,
iShares Agribusiness USD Acc GBP,ETF,EQUITY,Google,IE00B6R52143,SPAG,London,Sector Equity Agriculture,GBX,LON:SPAG,
